mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
092019;2;20180700021322;2;2;10;13;7;1;2;1;2873.6686734;110.68377692
092019;2;20180800020682;2;2;15;07;30;3;1;6;3915.5441693;1200.1968525
092019;2;20180800033867;2;2;15;04;2;1;1;6;1878.0034682;636.81879516
092019;2;20180800033953;2;2;15;13;3;1;1;6;2158.1643022;1114.745144
092019;2;20180800038374;2;2;15;13;40;3;3;6;3065.9007469;381.86517473
092019;2;20180800052694;2;2;10;07;35;3;3;6;2452.2315791;74.466478624
092019;2;20180800052786;2;2;15;13;7;3;1;6;2749.7534878;516.64193857
092019;2;20180900009198;2;2;15;13;2;1;2;6;2853.7639618;525.60566898
092019;2;20180900014875;2;2;10;12;9;2;1;6;1362.4309205;364.5069683
092019;2;20180900015803;2;2;15;12;10;2;1;6;3437.6441638;939.02824087
092019;2;20180900015942;2;2;15;13;15;3;1;6;3678.440254;518.568219
092019;2;20180900017666;2;2;15;13;90;3;1;6;4075.2055428;1256.6040002
092019;2;20180900032098;2;2;10;13;30;1;3;6;4438.7382208;4.2566324465
092019;2;20180900044600;2;2;15;13;3;1;1;6;3063.3296402;557.37257202
092019;2;20190700003566;2;2;11;14;14;3;1;6;1279.9308895;48.45208712
092019;2;20190700003567;2;2;11;14;14;2;1;6;1545.8244325;69.110799624
092019;2;20190700003568;2;2;11;10;7;3;1;6;951.50081744;40.34355941
092019;2;20190700003569;2;2;11;14;14;3;1;6;1945.5442232;19.380834848
092019;2;20190700003570;2;2;11;14;11;3;3;6;891.39606764;15.42245708
092019;2;20190700003611;2;2;11;14;7;3;1;6;1415.1807001;9.690417424
092019;2;20190700003612;2;2;11;10;8;2;1;6;1479.3762717;34.861028044
092019;2;20190700003613;2;2;11;14;18;3;1;6;2424.1992513;19.380834848
092019;2;20190700003614;2;2;11;14;8;3;1;6;839.74438469;19.380834848
092019;2;20190700003615;2;2;11;14;8;3;1;6;1185.3787888;29.071252272
092019;2;20190700011210;2;2;11;04;8;1;1;1;1287.9153707;191.92177157
092019;2;20190700011213;2;2;11;04;7;1;1;1;1394.5342246;139.27794091
092019;2;20190700011214;2;2;11;04;7;1;1;1;1394.5342246;208.91691137
092019;2;20190700011215;2;2;11;04;7;1;1;1;1420.7576529;278.55588183
092019;2;20190700017905;2;2;11;14;12;1;1;6;1651.7406075;34.629099511
092019;2;20190700017906;2;2;11;14;6;1;3;6;1088.3634357;24.246212662
092019;2;20190700017907;2;2;11;14;5;3;3;6;655.50074003;4.2429681368
092019;2;20190700017908;2;2;11;10;4;3;1;6;645.35551531;32.274847528
092019;2;20190700017909;2;2;11;14;5;3;1;6;655.50074003;19.380834848
092019;2;20190700020702;2;2;10;16;2;1;1;6;1130.0207223;568.23890297
092019;2;20190700024111;2;2;11;10;14;1;1;6;2117.4692782;8.0004421801
092019;2;20190700024112;2;2;11;14;6;2;1;6;1020.9954805;17.277699906
092019;2;20190700024113;2;2;11;10;14;3;1;6;1319.7439371;39.104500647
092019;2;20190700024114;2;2;11;14;11;3;1;6;920.52913644;87.213756816
092019;2;20190700025411;2;2;10;16;4;1;1;6;1504.9688859;281.8152822
092019;2;20190700032067;2;2;11;04;7;1;1;1;1196.0765316;278.55588183
092019;2;20190700032068;2;2;11;04;7;1;1;1;1394.5342246;139.27794091
092019;2;20190700032069;2;2;11;04;7;1;1;1;1196.0765316;278.55588183
092019;2;20190700032144;2;2;11;04;7;1;1;1;1196.0765316;278.55588183
092019;2;20190700032145;2;2;11;04;7;1;1;1;1196.0765316;208.91691137
092019;2;20190700032146;2;2;11;04;7;1;1;1;1196.0765316;278.55588183
092019;2;20190700032147;2;2;11;04;7;1;1;1;1196.0765316;278.55588183
092019;2;20190700032217;2;2;11;04;7;1;1;1;1196.0765316;278.55588183
092019;2;20190700032218;2;2;11;04;7;1;1;1;1405.8257971;139.27794091
092019;2;20190700032219;2;2;11;04;7;1;1;1;1210.4382958;278.55588183
092019;2;20190700034061;2;2;11;04;4;1;1;6;1144.7256921;150.19641007
092019;2;20190700036338;2;2;10;13;7;1;1;1;2468.893296;320.79629259
092019;2;20190700037148;2;2;11;14;13;3;1;6;1299.5309885;15.995946229
092019;2;20190700037149;2;2;11;10;6;3;1;6;802.63733447;32.274847528
092019;2;20190700037150;2;2;11;10;6;2;1;6;1100.444471;69.722056089
092019;2;20190700037151;2;2;11;10;7;3;1;6;852.82983699;32.274847528
092019;2;20190700037152;2;2;11;10;10;2;1;6;1647.5228301;34.861028044
092019;2;20190700043181;2;2;11;10;14;3;1;6;1459.848246;48.412271292
092019;2;20190700043184;2;2;11;10;8;1;1;1;1317.0442982;28.673162531
092019;2;20190700043185;2;2;11;14;7;3;1;6;799.61079777;19.380834848
092019;2;20190700043186;2;2;11;14;14;2;1;6;1785.1857551;103.66619944
092019;2;20190700043187;2;2;11;10;11;2;1;6;1587.6829519;69.722056089
092019;2;20190700043696;2;3;05;04;4;2;1;1;698.47322066;1705.3302353
092019;2;20190700047615;8;2;10;13;3;1;1;6;1377.5889175;681.81942543
092019;2;20190700052631;2;2;11;04;7;1;1;6;1574.1631648;120.25261966
092019;2;20190700054910;2;2;11;14;21;3;1;6;1843.2807786;19.380834848
