A0_1;C9_0;ccaa_etapa;pernoc_etapa
20190400024737;02;06;10
20190400024757;01;09;2
20190400024760;01;09;4
20190400024768;01;13;1
20190400024768;02;09;1
20190400024797;01;09;1
20190400025490;01;10;7
20190400025491;01;14;7
20190400025492;01;10;11
20190400025493;01;10;7
20190400025494;01;14;14
20190400025500;01;14;7
20190400025501;01;01;5
20190400025502;01;10;8
20190400025503;01;10;4
20190400025504;01;14;12
20190400025692;01;01;1
20190400025724;01;09;3
20190400025727;01;09;3
20190400025811;01;09;3
20190400026589;01;10;6
20190400026596;01;10;4
20190400026597;01;10;4
20190400026598;01;10;4
20190400026659;01;10;3
20190400026660;01;10;3
20190400026662;01;10;3
20190400027069;01;12;1
20190400027238;01;16;1
20190400027238;02;07;1
20190400027286;01;10;8
20190400027287;01;14;30
20190400027343;01;14;3
20190400027344;01;10;2
20190400027344;02;10;2
20190400027344;03;10;2
20190400027344;04;14;2
20190400027345;01;10;7
20190400028209;01;12;12
20190400028933;01;16;2
20190400028944;01;09;4
20190400028944;02;09;5
20190400028954;01;09;4
20190400028954;02;13;3
20190400028960;01;13;2
20190400028973;01;13;2
20190400029580;01;14;5
20190400029596;01;09;4
20190400029606;01;09;7
20190400029611;01;09;1
20190400030418;01;09;3
20190400030622;01;13;1
20190400030817;01;12;4
20190400030875;01;16;2
20190400030878;01;02;3
20190400031036;01;09;2
20190400031042;01;13;3
20190400031042;02;09;4
20190400031045;01;10;3
20190400031060;01;09;6
20190400031064;01;09;1
20190400032434;01;10;5
20190400032631;01;12;5
20190400032636;01;12;2
20190400032665;01;02;4
20190400032668;01;02;2
20190400032680;01;09;2
20190400032838;01;09;5
20190400032844;01;09;4
20190400032849;01;10;15
20190400032855;01;09;3
20190400032858;01;09;5
20190400032864;01;09;4
20190400032870;01;09;8
20190400032873;01;09;2
20190400032882;01;09;6
20190400032886;01;09;4
20190400032891;01;09;3
20190400032896;01;09;1
20190400032908;01;01;7
20190400032910;01;09;3
20190400032910;02;09;5
20190400032917;01;13;3
20190400032917;02;09;4
20190400032923;01;09;14
20190400032933;01;09;6
20190400032935;01;09;3
20190400032946;01;09;2
20190400033161;01;04;6
20190400033227;01;04;4
20190400033228;01;04;4
20190400033229;01;04;5
20190400033739;01;07;4
20190400034133;01;07;1
20190400034145;01;13;5
20190400034166;01;09;4
20190400034172;01;09;3
20190400034181;01;02;6
20190400034187;01;13;2
20190400034187;02;10;3
20190400034193;01;09;4
20190400034198;01;09;2
20190400034201;01;10;17
20190400034212;01;09;4
20190400034218;01;13;1
20190400034221;01;09;4
20190400034226;01;09;5
20190400034241;01;09;6
20190400034247;01;09;5
20190400034250;01;09;10
20190400034263;01;09;12
20190400034265;01;09;4
20190400034273;01;09;7
