mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
102019;2;20170900003599;2;2;02;04;5;1;1;6;1092.3644146;385.88337977
102019;2;20170900003659;2;2;02;04;9;1;1;6;1518.6861885;394.31642358
102019;2;20170900004774;2;2;10;03;19;2;1;6;3245.4807254;226.51502727
102019;2;20170900004814;2;2;10;09;5;3;1;6;1040.68092;240.79810402
102019;2;20170900004815;2;2;10;13;13;1;1;6;2443.281202;46.524984462
102019;2;20170900007702;2;2;10;09;10;1;1;1;1942.741673;238.96770343
102019;2;20170900007703;2;2;10;09;8;1;1;1;1656.4987905;1275.0771335
102019;2;20170900007704;2;2;10;09;7;1;1;1;1248.8475571;1840.8359984
102019;2;20170900007705;2;2;10;09;14;1;1;1;2639.5475273;402.88950279
102019;2;20170900007807;2;2;02;04;2;1;1;6;601.03687306;379.67716607
102019;2;20170900007905;2;2;02;04;7;3;1;6;670.4418632;75.767892799
102019;2;20170900009473;2;2;05;04;7;1;1;1;1175.6720207;13.32905077
102019;2;20170900009474;2;2;05;04;7;2;1;1;1077.4205929;25.15311334
102019;2;20170900009475;2;2;05;04;8;3;1;6;334.57532661;3.8227338103
102019;2;20170900009476;2;2;05;04;7;1;1;1;914.05521263;19.993576156
102019;2;20170900009477;2;2;05;04;7;1;1;1;1193.6018082;13.32905077
102019;2;20170900009478;2;2;05;04;7;1;1;1;1138.8637209;6.6645253852
102019;2;20170900009479;2;2;05;04;6;1;1;1;952.50852971;14.737592539
102019;2;20170900009480;2;2;05;04;7;1;1;1;977.84618459;19.993576156
102019;2;20170900009481;2;2;05;04;7;1;1;1;926.81340702;19.993576156
102019;2;20170900009483;2;2;12;04;10;1;1;1;1426.3691671;177.18796439
102019;2;20170900009550;2;2;05;04;7;2;1;1;943.46336391;42.743798183
102019;2;20170900009551;2;2;05;04;7;1;1;1;808.40014001;26.658101541
102019;2;20170900009552;2;2;05;04;7;1;1;1;1138.8637209;13.32905077
102019;2;20170900009553;2;2;05;04;7;1;1;1;1032.4013222;6.6645253852
102019;2;20170900009554;2;2;05;04;7;1;1;1;1032.4013222;13.32905077
102019;2;20170900009555;2;2;05;04;7;1;1;6;929.46896162;9.3803203705
102019;2;20170900009556;2;2;05;04;7;1;1;1;1069.209622;13.32905077
102019;2;20170900009557;2;2;05;04;6;1;1;1;1049.3825373;14.737592539
102019;2;20170900011280;2;2;05;04;10;1;1;1;1413.8578576;9.8609158683
102019;2;20170900011281;2;2;05;04;7;1;1;1;1193.6018082;13.32905077
102019;2;20170900011282;2;2;05;04;6;1;1;1;1075.8773502;14.737592539
102019;2;20170900011352;2;2;05;04;9;1;1;1;1437.9511908;21.805927914
102019;2;20170900012573;2;2;02;04;5;1;1;6;1225.7112123;385.88337977
102019;2;20170900012654;2;2;05;04;15;1;1;1;1909.9950916;5.9673380176
102019;2;20170900012655;2;2;05;04;4;1;1;6;621.6304663;12.679427361
102019;2;20170900012656;2;2;05;04;7;1;1;6;973.59075377;9.3803203705
102019;2;20170900012657;2;2;05;04;7;1;1;1;1193.6018082;19.993576156
102019;2;20170900012701;2;2;05;04;4;1;1;1;851.08649972;18.016946581
102019;2;20170900012702;2;2;05;04;9;1;1;6;1156.1519131;7.6729616133
102019;2;20170900012703;2;2;05;04;5;2;1;6;614.32472529;44.253762985
102019;2;20170900012704;2;2;05;04;6;1;1;6;857.1058967;10.371581734
102019;2;20170900012741;2;2;05;04;8;1;1;6;1073.1562007;8.4837985669
102019;2;20170900012742;2;2;05;04;10;1;1;6;1252.254014;6.9396202014
102019;2;20170900012743;2;2;05;04;11;1;1;6;1346.9575473;6.2763677139
102019;2;20170900012744;2;2;05;04;6;1;1;6;871.81316075;5.1857908671
102019;2;20170900012785;2;2;05;04;7;1;1;1;874.75131756;19.993576156
102019;2;20170900012786;2;2;05;04;7;2;1;6;991.96945056;17.701505194
102019;2;20170900012787;2;2;05;04;10;1;1;6;817.71069154;10.409430302
102019;2;20170900012788;2;2;05;04;7;1;1;1;1138.8637209;13.32905077
102019;2;20170900013868;2;2;10;09;3;1;1;6;1094.4504205;922.07883068
102019;2;20170900014933;2;2;05;04;9;1;1;1;1222.4189453;10.902963957
102019;2;20170900014934;2;2;05;04;9;1;1;1;1454.1689813;10.902963957
102019;2;20170900014935;2;2;05;04;9;1;1;1;1112.1311148;16.354445935
102019;2;20170900014936;2;2;05;04;9;2;1;6;1117.8629669;24.307640874
102019;2;20170900014937;2;2;05;04;5;1;1;1;958.11415492;16.29498136
102019;2;20170900014939;2;2;05;04;7;2;1;6;943.63884363;12.032380331
102019;2;20170900015034;2;2;05;04;10;1;1;1;1376.2573923;9.8609158683
102019;2;20170900015035;2;2;05;04;9;2;1;1;1643.6118172;13.985514767
102019;2;20170900015036;2;2;05;04;7;1;1;6;958.88348972;18.760640741
102019;2;20170900015037;2;2;05;04;4;1;2;6;628.03267739;11.447347475
102019;2;20170900018321;2;2;10;09;8;1;1;1;1444.2320874;637.53856676
102019;2;20170900018322;2;2;10;09;13;1;1;1;2339.1819505;310.21537677
102019;2;20170900018323;2;2;10;09;6;1;1;6;1345.8919872;598.49726087
102019;2;20170900018325;2;2;10;09;10;1;1;1;1933.828413;477.93540685
102019;2;20170900020607;2;2;10;09;10;1;1;1;1942.741673;477.93540685
