mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
122019;2;20171200015552;2;2;10;13;3;1;1;6;1405.520167;311.04551647
122019;2;20171200015561;2;2;10;13;5;1;1;6;1591.7529617;175.32293505
122019;2;20171200022199;2;2;10;13;22;1;3;6;3562.5026777;0.6369316415
122019;2;20171200027063;2;2;10;13;4;1;1;6;1610.6057459;700.57170648
122019;2;20171200027810;2;2;10;13;4;1;2;6;1834.8496187;200.51714796
122019;2;20181000010752;2;2;10;13;15;1;1;6;2666.9325942;11.287390725
122019;2;20181100025918;2;2;10;16;3;1;1;6;1350.4112862;279.48390614
122019;2;20181200006964;2;2;10;13;4;3;1;6;1086.2081126;334.84114592
122019;2;20181200011694;2;2;10;16;14;1;3;6;2501.6730816;22.082912365
122019;2;20181200015187;2;2;10;13;3;1;1;6;1405.520167;622.09103294
122019;2;20181200015257;2;2;10;13;3;1;2;6;1575.8533375;534.16339201
122019;2;20181200021568;2;2;10;13;1;1;3;6;976.45333704;524.16444425
122019;2;20191000000099;2;2;03;04;3;1;1;6;667.83206221;35.048266717
122019;2;20191000000100;2;2;01;04;7;1;1;1;1150.8832515;6.8588644935
122019;2;20191000000101;2;2;01;04;5;3;1;6;729.29319574;3.7408427979
122019;2;20191000000102;2;2;01;04;9;1;1;1;1136.7637353;7.1711128565
122019;2;20191000000103;2;2;05;04;7;1;1;1;1033.8472262;31.754486488
122019;2;20191000000104;2;2;05;04;10;3;3;6;693.864696;6.6546560598
122019;2;20191000000106;2;2;05;04;5;3;1;6;602.70435333;28.023811711
122019;2;20191000000107;2;2;05;04;6;1;1;6;886.14659163;24.980323116
122019;2;20191000000108;2;2;05;04;7;1;1;6;904.0060591;21.496414853
122019;2;20191000000146;2;2;03;04;4;1;1;1;686.6030461;46.88845496
122019;2;20191000000147;2;2;01;04;14;3;1;6;898.63734149;3.2858994314
122019;2;20191000000149;2;2;01;04;7;1;1;1;1043.7357988;6.8588644935
122019;2;20191000000150;2;2;01;04;1;3;2;6;294.00020722;2.8214635691
122019;2;20191000000151;2;2;05;04;4;1;1;6;750.0501645;50.600329415
122019;2;20191000000153;2;2;05;04;90;2;2;6;5755.5971689;28.142300512
122019;2;20191000000154;2;2;05;04;30;3;1;6;1440.1786777;12.307845042
122019;2;20191000000155;2;2;05;04;7;3;1;6;516.52763793;42.035717566
