A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170900003599;01;04;5
20170900003659;01;04;9
20170900004774;01;09;4
20170900004774;02;16;3
20170900004774;03;13;2
20170900004774;04;07;3
20170900004774;05;03;5
20170900004774;06;02;2
20170900004814;01;09;5
20170900004815;01;13;10
20170900004815;02;09;3
20170900007702;01;09;10
20170900007703;01;09;8
20170900007704;01;09;7
20170900007705;01;09;14
20170900007807;01;04;2
20170900007905;01;04;7
20170900009473;01;04;7
20170900009474;01;04;7
20170900009475;01;04;8
20170900009476;01;04;7
20170900009477;01;04;7
20170900009478;01;04;7
20170900009479;01;04;6
20170900009480;01;04;7
20170900009481;01;04;7
20170900009483;01;04;10
20170900009550;01;04;7
20170900009551;01;04;7
20170900009552;01;04;7
20170900009553;01;04;7
20170900009554;01;04;7
20170900009555;01;04;7
20170900009556;01;04;7
20170900009557;01;04;6
20170900011280;01;04;10
20170900011281;01;04;7
20170900011282;01;04;6
20170900011352;01;04;9
20170900012573;01;04;5
20170900012654;01;04;15
20170900012655;01;04;4
20170900012656;01;04;7
20170900012657;01;04;7
20170900012701;01;04;4
20170900012702;01;04;9
20170900012703;01;04;5
20170900012704;01;04;6
20170900012741;01;04;8
20170900012742;01;04;10
20170900012743;01;04;11
20170900012744;01;04;6
20170900012785;01;04;7
20170900012786;01;04;7
20170900012787;01;04;10
20170900012788;01;04;7
20170900013868;01;09;3
20170900014933;01;04;9
20170900014934;01;04;9
20170900014935;01;04;9
20170900014936;01;04;9
20170900014937;01;04;5
20170900014939;01;04;7
20170900015034;01;04;10
20170900015035;01;04;9
20170900015036;01;04;7
20170900015037;01;04;4
20170900018321;01;09;8
20170900018322;01;09;13
20170900018323;01;09;4
20170900018323;02;09;2
20170900018325;01;09;10
20170900020607;01;09;10
20170900020608;01;09;9
20170900020609;01;09;2
20170900025221;01;04;10
20170900027801;01;04;4
20170900027804;01;04;3
20170900027813;01;04;9
20170900027814;01;04;12
20170900027816;01;04;5
20170900027834;01;04;11
20170900027835;01;04;10
20170900027849;01;04;5
20170900027850;01;04;21
20170900034148;01;04;7
20170900034149;01;04;7
20170900034150;01;04;7
20170900034181;01;04;10
20170900034188;01;04;7
20170900034191;01;04;6
20170900037038;01;04;5
20170900038187;01;04;15
20170900038188;01;04;11
20170900038210;01;04;7
20170900038211;01;04;7
20170900041884;01;09;7
20170900041885;01;09;7
20170900041886;01;09;14
20170900041887;01;09;14
20171000000062;01;04;4
20171000000064;01;04;11
20171000002911;01;04;3
20171000002914;01;04;3
20171000003003;01;13;6
20171000003003;02;09;8
20171000004329;01;04;7
20171000004330;01;04;20
20171000004331;01;04;7
20171000004332;01;04;8
20171000004333;01;04;7
20171000017041;01;09;2
20171000017582;01;04;4
20171000017583;01;04;4
20171000017584;01;04;4
20171000017585;01;04;4
20171000017624;01;13;7
20171000024611;01;13;5
20171000027347;01;09;10
20171000028961;01;09;30
20171000036973;01;04;14
20171100008806;01;09;45
20171100008978;01;13;5
20171100025320;01;04;4
20171100025387;01;04;4
20171100035095;01;16;4
20171100035155;01;13;6
20171200015552;01;13;3
20171200015561;01;13;5
20171200022032;01;09;3
20171200022199;01;13;21
20171200027063;01;13;4
20171200033435;01;04;4
20181000000153;01;13;5
20181000000980;01;06;2
20181000003052;01;16;4
20181000003061;01;07;2
20181000003061;02;06;1
20181000003380;01;16;3
20181000003883;01;09;3
20181000004213;01;01;1
20181000004214;01;14;1
20181000004338;01;09;5
20181000005572;01;03;3
20181000005575;01;16;2
20181000005625;01;16;5
20181000007527;01;13;6
20181000007618;01;13;6
20181000007835;01;02;2
20181000007845;01;10;21
20181000009403;01;10;35
20181000009404;01;05;17
20181000009405;01;13;1
20181000009405;02;01;14
20181000009406;01;13;2
20181000009406;02;01;1
20181000009406;03;10;1
20181000009406;04;09;2
20181000009520;01;09;2
20181000009520;02;01;1
20181000009520;03;13;2
20181000009521;01;12;28
20181000009523;01;13;4
20181000009689;01;01;1
20181000009691;01;01;7
20181000009695;01;01;15
20181000009699;01;01;30
20181000009708;01;07;2
20181000009708;02;01;2
20181000009712;01;01;4
20181000009713;01;01;4
20181000009716;01;01;7
20181000009722;01;01;2
20181000009722;02;01;2
20181000009722;03;01;3
20181000010729;01;09;3
