mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
082019;2;20170700023531;2;2;10;04;8;1;1;6;1789.8173435;408.54746614
082019;2;20170700032682;2;2;10;13;6;3;1;6;887.97439911;290.11501599
082019;2;20170700039061;2;2;11;04;7;1;1;6;1127.6572669;175.43681076
082019;2;20170700039220;2;2;10;09;15;1;1;6;2658.404062;233.48036355
082019;2;20170700047937;2;2;11;04;6;3;1;6;879.13639336;102.4656063
082019;2;20170800001998;2;2;11;04;4;1;2;6;1044.424036;205.84172525
082019;2;20170800036664;2;2;11;04;7;3;1;6;908.22992312;102.4656063
082019;2;20170800040244;2;2;11;04;5;3;1;6;883.53659844;102.4656063
082019;2;20170800040315;2;2;11;04;7;1;1;6;1513.3380946;526.31043229
082019;2;20170900002086;2;2;11;04;4;2;1;6;1189.5628418;464.04786616
082019;2;20170900014574;2;2;11;04;1;1;2;6;461.84515531;297.83683269
082019;2;20170900041352;2;2;11;04;7;1;1;6;1308.5382856;350.87362153
082019;2;20180700018707;2;2;11;04;3;1;1;6;957.48723627;287.10937858
082019;2;20180700021322;2;2;10;13;7;1;2;1;2778.9850131;185.21401116
082019;2;20180700024440;8;2;10;13;21;1;1;6;4153.3042829;17.41092215
082019;2;20180700039477;2;2;10;13;5;2;1;6;1562.2700867;1227.8549541
082019;2;20180800020682;2;2;15;07;30;3;1;6;3969.6259157;1254.456914
082019;2;20180800021696;2;2;14;09;6;2;1;6;1869.1928013;447.80944224
082019;2;20180800023374;2;2;14;09;7;1;1;6;2347.6728786;504.1525133
082019;2;20180800023375;2;2;14;09;14;2;1;1;3373.6140221;557.746938
082019;2;20180800023456;2;2;14;04;13;3;1;6;2026.3697608;123.27549574
082019;2;20180800033867;2;2;15;04;2;1;1;6;1994.3735109;1126.6946816
082019;2;20180800033953;2;2;15;13;3;1;1;6;2160.0048006;1824.3687347
082019;2;20180800038374;2;2;15;13;40;3;3;6;6782.4130098;298.99024418
082019;2;20180800042473;2;2;14;09;6;2;1;6;1770.5824613;733.07195959
082019;2;20180800042475;2;2;14;09;17;2;1;6;4072.7588059;321.939032
082019;2;20180800042476;2;2;14;09;14;2;1;1;3294.0343343;446.21669691
082019;2;20180800042537;2;2;14;04;6;3;1;6;1386.3436877;123.80653981
082019;2;20180800042538;2;2;14;09;11;1;1;6;2859.7985374;773.48924089
082019;2;20180800042540;2;2;14;09;1;1;1;6;965.43857054;375.17891542
082019;2;20180800051793;2;2;14;10;21;1;1;6;4207.1766142;68.971341846
082019;2;20180800052694;2;2;10;07;35;3;3;6;2478.3963768;100.23357445
082019;2;20180800052786;2;2;15;13;7;3;1;6;2745.5677492;738.27945946
082019;2;20180800053667;2;2;14;09;13;3;1;6;1941.4835407;98.880028019
082019;2;20180900009198;2;2;15;13;2;1;2;6;2882.1244864;1014.2929472
082019;2;20180900014875;2;2;10;12;9;2;1;6;1332.2220762;617.28472465
082019;2;20180900015803;2;2;15;12;10;2;1;6;3361.7177401;1410.9730431
082019;2;20180900015942;2;2;15;13;15;3;1;6;3671.3354916;573.6874534
082019;2;20180900017666;2;2;15;13;21;3;1;6;3658.1029474;1193.4843204
082019;2;20180900032098;2;2;10;13;30;1;3;6;4439.2304286;0.4894176362
082019;2;20180900044600;2;2;15;13;3;1;1;6;3088.035146;912.18436735
082019;2;20190700003566;2;2;11;14;14;3;1;6;1280.1945369;29.97871892
082019;2;20190700003567;2;2;11;14;14;2;1;6;1555.2931485;52.209118083
082019;2;20190700003568;2;2;11;10;7;3;1;6;959.95342706;26.510434606
082019;2;20190700003569;2;2;11;14;14;3;1;6;1915.5361199;11.991487568
082019;2;20190700003570;2;2;11;14;11;3;3;6;889.34152183;8.279539192
082019;2;20190700003611;2;2;11;14;7;3;1;6;1371.6310407;5.995743784
082019;2;20190700003612;2;2;11;10;8;2;1;6;1483.2801339;24.012175507
082019;2;20190700003613;2;2;11;14;18;3;1;6;2408.4460885;11.991487568
082019;2;20190700003614;2;2;11;14;8;3;1;6;843.43884545;11.991487568
082019;2;20190700003615;2;2;11;14;8;3;1;6;1157.5984816;17.987231352
082019;2;20190700004331;2;2;09;04;7;1;1;1;1290.1836817;268.37365259
082019;2;20190700004407;2;2;09;04;7;3;1;6;680.33391689;337.12607141
