A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170600013624;01;04;2
20170600024715;01;04;7
20170600024716;01;04;8
20170600033257;01;16;3
20170700023531;01;04;8
20170700032682;01;13;6
20170700039061;01;04;7
20170700039220;01;09;4
20170700039220;02;09;4
20170700039220;03;10;3
20170700039220;04;13;4
20170700047937;01;04;6
20170800001998;01;04;4
20170800036664;01;04;7
20170800040244;01;04;5
20170800040315;01;04;7
20170900002086;01;04;4
20170900014574;01;04;1
20170900041352;01;04;7
20180700000122;01;04;7
20180700000123;01;04;4
20180700002225;01;09;4
20180700002227;01;13;2
20180700002227;02;01;1
20180700002227;03;01;2
20180700002227;04;01;2
20180700002227;05;10;2
20180700002227;06;10;2
20180700002227;07;09;2
20180700002844;01;04;3
20180700002845;01;04;3
20180700002846;01;04;3
20180700002847;01;04;5
20180700002869;01;04;3
20180700002870;01;04;2
20180700002871;01;04;4
20180700003839;01;09;1
20180700003846;01;13;3
20180700003885;01;13;3
20180700003885;02;01;2
20180700003885;03;01;1
20180700003885;04;09;2
20180700003888;01;09;2
20180700003987;01;12;4
20180700005139;01;13;3
20180700005219;01;13;14
20180700005221;01;13;2
20180700005222;01;13;2
20180700005225;01;01;22
20180700005247;01;13;2
20180700005939;01;13;10
20180700006012;01;13;3
20180700006012;02;09;4
20180700008758;01;13;6
20180700008758;02;08;1
20180700009440;01;09;6
20180700009598;01;09;5
20180700011092;01;09;4
20180700011096;01;13;2
20180700011096;02;09;3
20180700011209;01;09;1
20180700011209;02;13;2
20180700011210;01;16;4
20180700011210;02;05;2
20180700011210;03;13;1
20180700011360;01;01;1
20180700011360;02;01;2
20180700011360;03;01;2
20180700011360;04;13;1
20180700011676;01;10;4
20180700011689;01;15;2
20180700013348;01;09;6
20180700013349;01;04;5
20180700013376;01;09;3
20180700013385;01;09;1
20180700013385;02;09;1
20180700013385;03;04;1
20180700013387;01;09;2
20180700013429;01;09;6
20180700013441;01;09;2
20180700013555;01;10;14
20180700013557;01;03;7
20180700013559;01;13;3
20180700013561;01;13;4
20180700013629;01;16;9
20180700013706;01;15;3
20180700014160;01;10;10
20180700015282;01;10;8
20180700015282;02;09;1
20180700015288;01;09;3
20180700015372;01;09;6
20180700015374;01;09;2
20180700015545;01;13;1
20180700016015;01;14;3
20180700017951;01;13;2
20180700017951;02;01;1
20180700017951;03;01;1
20180700017951;04;09;1
20180700017952;01;09;2
20180700017953;01;09;6
20180700017954;01;05;2
20180700017954;02;09;1
20180700017962;01;09;3
20180700018017;01;09;2
20180700018705;01;04;3
20180700018707;01;04;3
20180700018728;01;04;5
20180700018763;01;04;7
20180700018765;01;04;5
20180700018766;01;04;5
20180700018902;01;13;1
20180700018902;02;10;4
20180700019681;01;13;14
20180700019699;01;13;4
20180700019772;01;13;4
20180700021129;01;13;2
20180700021129;02;10;4
20180700021130;01;13;2
20180700021130;02;01;4
20180700021131;01;13;5
20180700021132;01;13;3
20180700021290;01;12;7
20180700021291;01;10;10
20180700021291;02;13;3
20180700021291;03;01;3
20180700021322;01;13;7
20180700022846;01;16;14
20180700024045;01;09;3
20180700024140;01;09;2
20180700024998;01;10;7
20180700026153;01;09;4
20180700026179;01;07;20
20180700026179;02;01;1
20180700026179;03;01;3
20180700026179;04;09;3
20180700026251;01;09;12
20180700026255;01;09;3
20180700026383;01;13;4
20180700028041;01;01;5
20180700028305;01;16;1
20180700028324;01;16;4
20180700029036;01;04;5
20180700031264;01;09;2
20180700031264;02;12;3
20180700033294;01;09;3
20180700033315;01;09;15
20180700033785;01;16;4
20180700033895;01;15;2
20180700034458;01;16;5
20180700034595;01;04;3
20180700034597;01;04;3
20180700035030;01;09;6
20180700035239;01;09;1
20180700035239;02;01;1
20180700035239;03;01;1
20180700035239;04;01;1
20180700035239;05;10;1
20180700035239;06;13;2
20180700035242;01;09;2
20180700035242;02;08;1
20180700035242;03;01;1
20180700035242;04;01;1
20180700035242;05;13;1
20180700035447;01;01;10
20180700035447;02;01;10
20180700035462;01;07;1
20180700036454;01;01;3
20180700036454;02;13;1
20180700036552;01;13;1
20180700036552;02;07;8
20180700036552;03;03;3
20180700036813;01;04;7
20180700037687;01;16;3
20180700037700;01;16;1
20180700037700;02;16;1
20180700038349;01;04;2
20180700038352;01;04;12
20180700038353;01;04;4
20180700038355;01;04;2
20180700038356;01;04;60
20180700038357;01;04;10
20180700038358;01;04;10
20180700038388;01;04;3
20180700038392;01;04;6
20180700038394;01;04;7
20180700038395;01;04;3
20180700038396;01;04;7
20180700039708;01;12;6
20180700039733;01;16;4
20180700040409;01;10;5
20180700040409;02;10;5
20180700040410;01;10;3
20180700040486;01;10;10
20180700040487;01;10;14
20180700040929;01;13;7
20180700040929;02;01;1
20180700040929;03;10;1
20180700040929;04;10;2
20180700040929;05;01;2
20180700040929;06;11;1
20180700040929;07;02;1
20180700041767;01;16;15
20180700042433;01;10;7
20180700044183;01;16;3
20180700044193;01;16;1
20180700045275;01;09;30
20180700045831;01;10;6
20180700045859;01;10;14
20180700045860;01;10;7
20180700047163;01;09;6
20180700048918;01;10;10
20180700048919;01;10;30
20180700048920;01;10;6
20180700048930;01;10;14
20180700048931;01;12;3
20180700048931;02;16;3
20180700048931;03;10;9
20180700048942;01;10;12
20180700048944;01;10;7
20180700048954;01;14;17
20180700049509;01;09;2
20180700049792;01;13;3
20180700049792;02;09;3
20180700049792;03;01;2
20180700050896;01;16;1
20180700050897;01;16;1
20180800004548;01;04;8
20180800004549;01;04;14
20180800004550;01;04;7
20180800004614;01;04;7
20180800025242;01;04;7
20180800025243;01;04;3
20180800025244;01;04;3
20180800025282;01;04;7
20180800025283;01;04;7
20180800025284;01;04;10
20180800052694;01;07;21
20180800052694;02;03;14
20180900014875;01;12;9
20180900032098;01;13;30
20190600000735;01;09;3
20190600000740;01;07;3
20190600000742;01;13;1
20190600000754;01;13;1
20190600000756;01;09;2
20190600000763;01;09;4
20190600000770;01;09;3
20190600000777;01;09;3
20190600000788;01;09;4
20190600000790;01;09;8
20190600000795;01;09;4
20190600000801;01;09;2
20190600000806;01;13;3
20190600000806;02;08;3
20190600000806;03;01;3
20190600000806;04;01;2
20190600000806;05;09;1
20190600000813;01;09;3
20190600000817;01;09;3
20190600001534;01;09;5
20190600001540;01;09;1
20190600001545;01;09;6
20190600001556;01;09;2
20190600001556;02;09;2
20190600001556;03;09;3
20190600001565;01;01;5
20190600001569;01;13;3
20190600001577;01;09;3
20190600005649;01;12;5
20190600005649;02;12;5
