A0_1;C9_0;ccaa_etapa;pernoc_etapa
20180700021322;01;13;7
20180800020682;01;07;30
20180800033867;01;04;1
20180800033867;02;13;1
20180800033953;01;13;3
20180800038374;01;06;5
20180800038374;02;07;4
20180800038374;03;07;4
20180800038374;04;13;27
20180800052694;01;07;21
20180800052694;02;03;14
20180800052786;01;13;4
20180800052786;02;09;3
20180900009198;01;13;2
20180900014875;01;12;9
20180900015803;01;12;7
20180900015803;02;03;2
20180900015803;03;13;1
20180900015942;01;13;8
20180900015942;02;09;4
20180900015942;03;07;3
20180900017666;01;13;90
20180900032098;01;13;30
20180900044600;01;13;3
20190700003566;01;14;14
20190700003567;01;14;14
20190700003568;01;10;7
20190700003569;01;14;14
20190700003570;01;14;11
20190700003611;01;14;7
20190700003612;01;10;8
20190700003613;01;14;18
20190700003614;01;14;8
20190700003615;01;14;8
20190700011210;01;04;8
20190700011213;01;04;7
20190700011214;01;04;7
20190700011215;01;04;7
20190700017905;01;14;12
20190700017906;01;14;6
20190700017907;01;14;5
20190700017908;01;10;4
20190700017909;01;14;5
20190700020702;01;16;2
20190700024111;01;10;14
20190700024112;01;14;6
20190700024113;01;10;14
20190700024114;01;14;11
20190700025411;01;16;4
20190700032067;01;04;7
20190700032068;01;04;7
20190700032069;01;04;7
20190700032144;01;04;7
20190700032145;01;04;7
20190700032146;01;04;7
20190700032147;01;04;7
20190700032217;01;04;7
20190700032218;01;04;7
20190700032219;01;04;7
20190700034061;01;04;4
20190700036338;01;13;7
20190700037148;01;14;13
20190700037149;01;10;6
20190700037150;01;10;6
20190700037151;01;10;7
20190700037152;01;10;10
20190700043181;01;10;14
20190700043184;01;10;8
20190700043185;01;14;7
20190700043186;01;14;14
20190700043187;01;10;11
20190700043696;01;09;2
20190700043696;02;04;2
20190700047615;01;13;3
20190700052631;01;04;7
20190700054910;01;14;21
20190700054911;01;14;14
20190700054912;01;14;21
20190700054913;01;14;7
20190700054914;01;10;6
20190800000637;01;13;3
20190800001766;01;16;2
20190800001775;01;16;4
20190800001780;01;09;1
20190800001780;02;10;2
20190800001830;01;10;7
20190800001884;01;10;12
20190800001885;01;10;9
20190800002817;01;09;4
20190800003300;01;07;2
20190800003310;01;09;2
20190800003320;01;10;5
20190800003330;01;09;4
20190800003331;01;10;14
20190800003331;02;09;1
20190800003339;01;09;4
20190800003349;01;09;2
20190800003356;01;09;6
20190800003378;01;09;15
20190800003386;01;09;60
20190800003392;01;09;3
20190800003401;01;09;4
20190800003407;01;13;3
20190800003415;01;09;5
20190800003427;01;09;5
20190800003435;01;09;3
20190800003451;01;01;21
20190800003451;02;09;2
20190800003452;01;09;1
20190800003461;01;09;7
20190800003476;01;14;30
20190800003481;01;09;2
20190800003486;01;09;3
20190800003490;01;09;5
20190800003851;01;04;7
20190800003856;01;04;7
20190800003913;01;04;3
20190800003914;01;04;4
20190800003916;01;04;5
20190800003921;01;04;7
20190800003944;01;13;2
20190800004445;01;04;4
20190800004446;01;04;6
20190800004447;01;04;8
20190800004448;01;04;15
20190800005267;01;09;3
20190800005510;01;16;4
20190800005597;01;09;3
20190800005607;01;09;15
20190800005613;01;10;5
20190800005615;01;09;2
20190800005622;01;01;30
20190800005622;02;09;1
20190800005630;01;09;2
20190800005633;01;09;3
20190800005640;01;09;6
20190800005658;01;09;4
20190800005664;01;09;7
20190800005666;01;09;5
20190800005673;01;09;2
20190800005683;01;01;10
20190800005698;01;13;3
20190800005698;02;09;4
20190800005721;01;14;10
20190800005722;01;14;8
20190800005766;01;10;2
20190800005955;01;04;7
20190800005956;01;04;7
20190800005958;01;04;7
20190800006029;01;04;7
20190800007084;01;07;1
20190800007087;01;16;1
20190800007379;01;11;2
20190800007431;01;13;1
20190800007455;01;09;3
20190800007513;01;10;13
20190800008894;01;09;15
20190800008953;01;01;7
20190800008965;01;01;5
20190800008971;01;07;1
20190800008974;01;07;1
20190800009007;01;07;1
20190800009009;01;01;15
20190800009014;01;07;1
20190800009450;01;16;2
20190800009469;01;13;3
20190800009471;01;07;1
20190800009479;01;16;1
20190800009503;01;09;15
20190800009505;01;13;3
20190800009505;02;09;2
20190800009515;01;09;3
20190800009524;01;09;6
20190800009530;01;09;3
20190800009534;01;09;14
20190800009557;01;09;7
20190800009570;01;09;3
20190800009575;01;09;7
20190800009581;01;09;2
20190800009596;01;09;1
20190800009605;01;10;8
20190800009605;02;09;2
20190800009609;01;09;4
20190800009615;01;13;2
20190800009615;02;09;1
20190800009620;01;10;5
20190800009633;01;10;14
20190800009652;01;09;1
20190800009695;01;10;7
20190800009696;01;10;6
20190800009738;01;14;3
20190800009910;01;16;28
20190800009910;02;16;2
20190800009987;01;16;3
20190800009987;02;03;2
20190800010451;01;04;6
20190800010603;01;04;3
20190800011906;01;16;1
