mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
072019;2;20170600013624;2;2;11;04;2;1;2;6;653.93164093;416.56223636
072019;2;20170600024715;2;2;11;04;7;1;1;6;1306.1676785;1050.8999142
072019;2;20170600024716;2;2;11;04;8;2;1;6;1560.3692251;540.68827439
072019;2;20170600033257;2;2;10;16;3;1;2;6;1536.7077987;292.90229355
072019;2;20170700023531;2;2;10;04;8;1;1;6;1719.7324372;237.07117096
072019;2;20170700032682;2;2;10;13;6;3;1;6;847.60191979;185.54004193
072019;2;20170700039061;2;2;11;04;7;1;1;6;1102.2922666;262.72497856
072019;2;20170700039220;2;2;10;09;15;1;1;6;2718.579336;174.51586634
072019;2;20170700047937;2;2;11;04;6;3;1;6;891.3662222;191.80716565
072019;2;20170800001998;2;2;11;04;4;1;2;6;1024.3820903;323.69801177
072019;2;20170800036664;2;2;11;04;7;3;1;6;926.79093041;191.80716565
072019;2;20170800040244;2;2;11;04;5;3;1;6;883.74071558;191.80716565
072019;2;20170800040315;2;2;11;04;7;1;1;6;1493.0475226;788.17493567
072019;2;20170900002086;2;2;11;04;4;2;1;6;1185.0429522;820.96632649
072019;2;20170900014574;2;2;11;04;1;1;2;6;460.82370399;472.55224246
072019;2;20170900041352;2;2;11;04;7;1;1;6;1306.1676785;525.44995711
072019;2;20180700000122;2;2;03;04;7;1;1;6;1263.6961352;955.60386621
072019;2;20180700000123;2;2;03;04;4;1;1;6;664.14261343;632.6392058
072019;2;20180700002225;2;2;15;09;4;1;1;1;1563.318907;631.27378018
072019;2;20180700002227;2;2;14;13;13;1;1;6;3950.9201814;369.23201699
072019;2;20180700002844;2;2;03;04;3;1;1;6;700.18014702;1389.3835888
072019;2;20180700002845;2;2;03;04;3;1;1;1;666.54150129;1602.3867562
072019;2;20180700002846;2;2;03;04;3;3;1;6;457.68633883;277.76294379
072019;2;20180700002847;2;2;03;04;5;3;1;6;675.6618447;277.76294379
072019;2;20180700002869;2;2;03;04;3;1;1;6;719.64104631;694.69179439
072019;2;20180700002870;2;2;03;04;2;3;1;6;480.9071571;297.52401817
072019;2;20180700002871;2;2;03;04;4;1;1;1;825.94718728;1459.2553029
072019;2;20180700003839;2;2;15;09;1;1;1;6;1664.4202119;824.4976114
072019;2;20180700003846;2;2;15;13;3;1;2;6;2237.5854185;608.91094931
072019;2;20180700003885;2;2;15;13;8;1;1;1;3453.7234198;783.42639168
072019;2;20180700003888;2;2;15;09;2;3;1;6;1817.1717728;281.59501398
072019;2;20180700003987;8;1;03;12;4;2;1;6;364.59792975;4151.2584232
072019;2;20180700005139;2;2;09;13;3;1;1;6;879.70012686;1298.6337642
072019;2;20180700005219;2;2;09;13;14;3;1;6;914.32684595;888.63053203
072019;2;20180700005221;2;2;09;13;2;1;1;6;690.74203297;852.85833014
072019;2;20180700005222;2;2;09;13;2;3;3;6;406.70640315;215.62891014
072019;2;20180700005225;2;2;14;01;22;3;3;6;2518.0315472;54.882409545
072019;2;20180700005247;2;2;06;13;2;1;2;6;725.96143952;1017.8116835
072019;2;20180700005939;2;2;14;13;10;1;2;6;3206.5047566;91.517121148
072019;2;20180700006012;2;2;14;09;7;1;1;6;2304.0206206;99.366304056
072019;2;20180700008758;2;2;15;13;7;3;1;6;2540.528456;123.07344518
072019;2;20180700009440;2;2;15;09;6;1;1;6;2851.1592106;416.54444543
072019;2;20180700009598;2;2;15;09;5;1;2;6;3033.7124131;7656.8374863
072019;2;20180700011092;2;2;14;09;4;1;1;6;1764.0367266;989.25818741
072019;2;20180700011096;2;2;15;09;5;1;1;1;1923.6252055;862.77517282
072019;2;20180700011209;8;2;15;13;3;1;1;6;2128.5545215;254.2408287
072019;2;20180700011210;2;2;15;16;7;1;2;1;3759.4514806;96.521339433
072019;2;20180700011360;2;2;15;01;6;1;1;6;2923.9038284;146.59770963
072019;2;20180700011676;2;1;03;10;4;3;1;6;318.80376634;2507.2187463
072019;2;20180700011689;2;1;03;15;2;3;1;6;175.11797945;2476.1258154
072019;2;20180700013348;2;2;14;09;6;1;3;6;2834.3829208;404.47325625
