mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
112019;2;20171100008978;2;2;10;13;5;1;2;6;1852.9095105;121.73192556
112019;2;20171100035095;2;2;10;16;4;1;2;6;1762.4188645;142.53609056
112019;2;20171100035155;2;2;10;13;6;1;1;6;1481.1869081;119.23785032
112019;2;20171200015552;2;2;10;13;3;1;1;6;1406.0401437;233.50251904
112019;2;20171200015561;2;2;10;13;5;1;1;6;1585.3069376;149.17863027
112019;2;20171200022199;2;2;10;13;22;1;3;6;3527.0807868;1.49599798
112019;2;20171200027063;2;2;10;13;4;1;1;6;1608.5250685;559.91273748
112019;2;20171200027810;2;2;10;13;4;1;2;6;1831.9482956;152.29897106
112019;2;20181000010752;2;2;10;13;15;1;1;6;2646.2563281;20.70689954
112019;2;20181100000659;2;2;03;04;4;3;3;6;467.59807391;6.8812793122
112019;2;20181100000660;2;2;03;04;3;1;1;1;644.98473464;23.422147693
112019;2;20181100000668;2;2;03;04;4;3;1;6;324.70064074;15.222033649
112019;2;20181100000669;2;2;03;04;7;3;1;6;469.43600835;15.222033649
112019;2;20181100002300;8;1;07;07;1;1;3;6;156.09602144;1243.4970133
112019;2;20181100002473;2;2;03;04;7;3;3;6;733.97188358;6.8812793122
112019;2;20181100002485;2;2;03;04;2;1;1;6;510.73857759;24.928610926
112019;2;20181100002490;2;2;03;04;2;1;1;6;542.85896562;24.928610926
112019;2;20181100002491;2;2;03;04;30;3;1;6;1956.1271448;13.774088611
112019;2;20181100002492;2;2;03;04;7;1;1;1;970.61241879;9.3866455808
112019;2;20181100002493;2;2;03;04;2;3;1;6;420.13395019;30.444067298
112019;2;20181100002499;2;2;03;04;3;3;1;6;287.03214786;30.444067298
112019;2;20181100005485;2;2;03;04;4;3;1;6;600.63880152;15.222033649
112019;2;20181100005499;2;2;03;04;7;3;1;6;690.43945777;15.222033649
112019;2;20181100005501;2;2;03;04;9;3;1;6;520.34982784;13.774088611
112019;2;20181100007599;8;3;15;02;30;3;1;6;8104.9993171;745.63230484
112019;2;20181100007732;2;2;03;04;5;3;1;6;650.0234611;15.222033649
112019;2;20181100011203;8;3;02;07;1;3;1;6;485.79373642;177.63651842
112019;2;20181100013895;2;1;07;13;1;1;3;6;160.78925999;2669.4896016
112019;2;20181100014102;2;1;07;16;4;1;2;6;746.05589129;1361.4501416
112019;2;20181100016005;2;3;15;01;15;2;1;6;2277.8467013;3284.5313355
112019;2;20181100018626;8;1;07;07;1;1;2;6;215.55032984;2244.6369843
112019;2;20181100019483;2;1;07;12;1;3;3;6;44.466770683;1180.6511378
112019;2;20181100021506;8;3;09;01;3;3;1;6;931.33050683;226.83251769
112019;2;20181100021518;8;3;08;01;21;3;1;6;1534.8941909;157.12881195
112019;2;20181100021529;8;3;06;01;5;3;1;6;1333.8697027;454.27907563
112019;2;20181100025538;2;3;15;01;7;1;1;6;1306.6164745;945.9277239
112019;2;20181100025918;2;2;10;16;3;1;1;6;1350.2875834;167.56611779
112019;2;20181100027433;2;1;07;12;1;3;3;6;26.758668285;1304.7622863
112019;2;20181100032253;2;1;07;13;4;1;1;6;633.60469815;1937.9209261
112019;2;20181200006964;2;2;10;13;4;3;1;6;1079.0255126;223.58643151
112019;2;20181200011694;2;2;10;16;14;1;3;6;2481.1876515;119.62750886
112019;2;20181200015187;2;2;10;13;3;1;1;6;1406.0401437;467.00503809
112019;2;20181200015257;2;2;10;13;3;1;2;6;1576.0662486;381.0828832
112019;2;20181200021568;2;2;10;13;1;1;3;6;982.00909551;330.44792517
112019;2;20191000000099;2;2;03;04;3;1;1;6;668.60675721;15.773715499
112019;2;20191000000100;2;2;01;04;7;1;1;1;1152.1452;4.1182924438
112019;2;20191000000101;2;2;01;04;5;3;1;6;733.78270113;4.8331097764
112019;2;20191000000102;2;2;01;04;9;1;1;1;1133.2003722;3.5245753663
112019;2;20191000000103;2;2;05;04;7;1;1;1;1032.7747383;7.1012906729
112019;2;20191000000104;2;2;05;04;10;3;3;6;687.83321286;7.9347406097
112019;2;20191000000106;2;2;05;04;5;3;1;6;605.65088355;35.104777202
112019;2;20191000000107;2;2;05;04;6;1;1;6;878.42652649;7.042197133
112019;2;20191000000108;2;2;05;04;7;1;1;6;910.09024113;4.7823854679
112019;2;20191000000146;2;2;03;04;4;1;1;1;685.24902375;14.820492614
112019;2;20191000000147;2;2;01;04;14;3;1;6;894.43313761;4.373376374
112019;2;20191000000149;2;2;01;04;7;1;1;1;1043.0983775;4.1182924438
112019;2;20191000000150;2;2;01;04;1;3;2;6;296.08716201;3.5687385403
112019;2;20191000000151;2;2;05;04;4;1;1;6;744.32631084;22.904807042
112019;2;20191000000153;2;2;05;04;90;2;2;6;5615.2655292;31.075094873
112019;2;20191000000154;2;2;05;04;30;3;1;6;1428.6786043;15.882776342
112019;2;20191000000155;2;2;05;04;7;3;1;6;519.4187988;52.657165802
112019;2;20191000000157;2;2;05;04;6;3;1;6;509.31526286;17.552388601
112019;2;20191000000908;2;1;03;15;2;3;1;6;252.00097003;1245.5244096
112019;2;20191000001140;2;4;13;01;3;1;1;6;1190.7985307;98.406741125
112019;2;20191000001146;2;4;11;09;6;3;1;6;853.41173123;39.055637331
112019;2;20191000001147;2;4;07;13;3;1;1;6;549.23423842;43.039942369
112019;2;20191000001154;8;4;09;09;1;1;1;6;210.48341215;102.2186133
112019;2;20191000001196;2;2;03;09;2;1;1;6;520.25918626;529.6263335
112019;2;20191000001388;2;2;05;04;7;3;1;6;588.14280934;17.552388601
112019;2;20191000001389;2;2;05;04;4;1;1;6;843.12818643;15.269871362
112019;2;20191000001390;2;2;05;04;4;1;1;6;744.32631084;15.269871362
112019;2;20191000001391;2;2;05;04;3;3;1;6;472.50211224;17.552388601
112019;2;20191000001429;2;2;05;04;2;1;1;6;470.68426372;33.110259056
112019;2;20191000001432;2;2;05;04;5;2;1;6;849.90718102;38.08154736
112019;2;20191000002305;2;1;03;07;25;3;2;6;1079.3598872;664.84460462
112019;2;20191000002307;8;1;03;07;1;1;3;6;175.83841513;1087.9681222
112019;2;20191000002308;8;1;07;07;1;3;3;6;92.523749672;212.859338
112019;2;20191000002344;8;1;08;01;2;3;1;6;308.54828152;242.37690662
112019;2;20191000002364;8;1;08;07;2;2;1;6;387.3338154;746.53861444
112019;2;20191000002373;8;1;08;01;21;3;1;6;956.44903745;385.63488876
112019;2;20191000002390;2;1;08;01;10;2;1;6;731.41638614;1016.757503
112019;2;20191000002399;2;1;07;01;5;1;1;6;380.15018948;1163.4291769
112019;2;20191000002616;2;1;13;16;3;1;1;6;1114.0994151;2485.1370078
112019;2;20191000003936;2;1;07;07;3;1;1;6;353.69007921;1133.8578603
112019;2;20191000004153;8;1;04;10;20;1;1;6;1675.9598033;1839.261296
112019;2;20191000004166;8;1;14;13;3;1;1;6;607.76772875;2689.0619211
112019;2;20191000004201;2;4;05;09;1;3;3;6;242.32329405;48.875146028
112019;2;20191000004209;2;4;03;09;7;1;2;6;1018.3367901;9.3894637089
112019;2;20191000004227;2;4;15;09;4;1;1;6;1336.2841391;211.64293559
112019;2;20191000004236;2;4;03;09;2;3;3;6;324.24499531;23.334461172
112019;2;20191000004243;2;4;09;04;10;3;1;6;1118.4363876;100.56171628
