mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
022019;2;20180200027099;2;2;14;14;8;1;2;6;2577.061896;112.14260424
022019;2;20180200027960;2;4;07;10;30;3;3;6;1294.1109221;12.690525266
022019;2;20180200027964;2;4;07;13;2;1;1;6;396.20809331;97.069665726
022019;2;20180200028601;2;2;15;13;3;1;2;6;3066.0979522;1051.8772296
022019;2;20180200028604;2;2;15;13;5;1;1;1;1876.0634408;1665.6718508
022019;2;20180200028641;2;2;10;05;10;1;3;6;1660.7496044;662.78796458
022019;2;20180200028647;2;2;10;13;1;1;1;6;971.78027326;967.7460625
022019;2;20180200028652;2;2;14;13;5;1;1;6;2007.6249167;89.607718748
022019;2;20180200028720;2;1;07;08;2;1;1;6;207.69406876;3870.7484073
022019;2;20180300000233;2;2;10;09;150;2;3;6;11666.374957;584.56391285
022019;2;20180300013265;2;2;04;14;5;1;1;6;906.95669666;77.34939864
022019;2;20180300013266;2;2;04;10;3;3;1;6;578.11248438;100.9709083
022019;2;20180300013268;2;2;04;14;3;3;1;6;567.5267272;70.478233861
022019;2;20180300013269;2;2;04;10;6;3;1;6;611.42196888;92.859124948
022019;2;20180300013313;2;2;04;14;3;2;3;6;779.65344833;224.61550693
022019;2;20180300013315;2;2;04;10;9;3;1;6;1277.962432;100.9709083
022019;2;20180300013316;2;2;04;10;6;1;1;6;728.33316677;816.96254902
022019;2;20180300014361;2;2;01;04;3;1;2;1;563.91625026;35.121957589
022019;2;20180300014384;2;2;01;04;2;1;2;6;364.99371686;28.262259534
022019;2;20180300016367;2;2;01;04;2;1;2;1;411.66167701;40.984487747
022019;2;20180300016368;2;2;01;04;2;1;2;1;411.66167701;40.984487747
022019;2;20180300016369;2;2;01;04;2;1;2;1;347.48332002;81.968975494
022019;2;20180300016370;2;2;01;04;2;1;2;1;411.66167701;40.984487747
022019;2;20180300017717;2;2;15;13;12;3;1;6;2833.7076636;676.33453447
022019;2;20180300017822;2;2;15;13;7;1;1;1;3092.3021487;1195.5106416
022019;2;20180300018702;2;2;05;04;8;2;3;6;1484.3302878;81.728679123
022019;2;20180300020023;2;2;10;09;33;2;1;6;3540.6007082;3515.6712593
022019;2;20180300024192;2;2;01;04;9;3;1;6;880.53657143;27.959495392
022019;2;20180300027159;2;2;01;04;9;3;1;6;822.6709702;25.713290291
022019;2;20180300027162;2;2;05;04;21;2;2;6;1792.2705624;82.924702613
022019;2;20180300027197;2;2;01;04;14;3;1;6;857.80643513;27.959495392
022019;2;20180300028542;2;2;05;04;12;3;1;6;766.3128411;37.232045483
022019;2;20180300028562;2;2;05;04;1;1;1;6;323.15948613;193.26152994
022019;2;20180300028590;2;2;01;04;1;1;1;6;360.59888032;70.954777149
022019;2;20180300028591;2;2;01;04;21;1;1;6;2766.7195;1.6185857059
022019;2;20180300032414;2;2;01;04;21;1;2;6;3168.7439355;1.504636987
022019;2;20180300032441;2;2;01;04;14;3;1;6;897.04460739;25.713290291
022019;2;20190100000046;2;2;15;17;12;3;3;6;2218.0200646;189.52874155
022019;2;20190100000115;8;2;15;13;13;3;1;6;2957.9966049;1081.691199
022019;2;20190100000116;2;2;15;13;14;3;3;6;2726.8223388;405.47119086
022019;2;20190100000117;2;2;15;13;7;3;3;6;2004.5721506;405.47119086
022019;2;20190100000119;2;2;15;07;10;3;3;6;2316.1837778;193.30206803
022019;2;20190100000120;2;2;15;01;10;3;1;6;3030.5799883;818.29366425
022019;2;20190100000177;2;2;15;13;10;3;1;6;2321.1853188;609.64395033
022019;2;20190100000178;2;2;15;12;13;3;3;6;2801.7567089;466.33500353
022019;2;20190100000595;2;1;07;12;1;3;3;6;72.005904092;3071.7169612
022019;2;20190100000877;2;2;15;09;3;1;1;6;2126.9851885;591.13152767
022019;2;20190100000891;2;2;10;09;5;3;1;6;677.33454185;2567.8834827
022019;2;20190100000892;2;2;15;09;3;1;1;6;2126.9851885;295.56576384
022019;2;20190100001095;2;2;15;16;15;3;3;6;2919.2023657;409.89525741
022019;2;20190100001097;2;2;01;04;21;3;1;6;1171.8123621;27.959495392
022019;2;20190100001100;2;2;01;04;14;3;1;6;478.94859411;25.713290291
022019;2;20190100001670;2;1;07;12;3;1;1;6;372.30707576;6593.4424413
022019;2;20190100001718;8;3;02;10;3;2;1;6;918.39840747;1067.3336943
022019;2;20190100001800;2;2;15;09;4;1;1;6;1737.5969005;460.73460073
022019;2;20190100001863;2;2;15;09;2;1;1;6;1574.7546128;758.433342
022019;2;20190100001907;2;2;08;04;14;3;1;6;857.80643513;13.029306898
022019;2;20190100001908;2;2;08;04;5;3;3;6;348.58896814;8.6657278912
022019;2;20190100001909;2;2;08;04;14;3;3;6;1050.27969;8.6657278912
022019;2;20190100001910;2;2;01;04;9;2;1;6;1127.8215033;13.342930366
022019;2;20190100001911;2;2;08;04;4;1;1;6;869.57908463;14.153950679
022019;2;20190100002255;2;2;14;09;4;1;1;6;1644.8215549;731.28354821
022019;2;20190100002409;2;2;08;13;8;3;3;6;630.47219456;681.36599238
022019;2;20190100002410;2;2;08;13;10;3;1;6;692.66804852;341.48801409
022019;2;20190100002411;2;2;08;13;14;3;3;6;816.27404523;227.12199746
022019;2;20190100002412;2;2;08;13;11;3;3;6;862.59587948;681.36599238
022019;2;20190100002414;2;2;08;13;14;3;3;6;865.92126951;227.12199746
022019;2;20190100002477;2;2;08;07;7;3;3;6;518.43758433;108.27687095
022019;2;20190100002490;2;2;08;03;14;3;3;6;780.71883642;144.08637953
022019;2;20190100002491;2;2;08;13;5;3;3;6;644.54996623;454.24399492
022019;2;20190100002492;2;2;08;13;4;3;3;6;410.821768;227.12199746
022019;2;20190100002493;2;2;08;13;20;3;3;6;1047.9647536;227.12199746
022019;2;20190100002494;2;2;08;13;14;3;3;6;816.27404523;227.12199746
022019;2;20190100002853;2;2;15;13;3;1;1;6;2603.8007438;472.690647
022019;2;20190100002885;2;2;14;13;9;1;1;6;2252.643063;116.39259571
022019;2;20190100003068;2;2;02;14;14;3;1;6;1467.9293784;60.882208448
022019;2;20190100003070;2;2;02;01;10;1;1;6;938.75742433;118.4120302
022019;2;20190100003110;2;2;02;01;12;3;1;6;923.42770779;91.575262758
022019;2;20190100003111;2;2;02;10;14;3;1;6;751.18335172;115.04942457
022019;2;20190100003210;2;2;06;04;7;3;3;6;678.7996089;69.772610638
022019;2;20190100003211;2;2;02;04;3;3;1;6;389.29486063;34.290605816
022019;2;20190100003307;8;2;15;13;6;1;1;6;2827.5365462;73.608675634
022019;2;20190100003308;8;2;15;13;8;1;1;6;3264.2044301;128.40744285
022019;2;20190100003309;8;2;15;01;7;1;1;6;2561.8204002;97.014482845
022019;2;20190100003546;2;2;15;09;14;3;1;6;2114.5706694;387.7209077
022019;2;20190100003579;2;2;15;09;3;1;1;6;2386.4297359;591.13152767
022019;2;20190100003593;2;2;01;04;7;1;1;1;1110.4041044;40.75205261
022019;2;20190100003594;2;2;01;04;10;3;1;6;850.09853415;25.713290291
022019;2;20190100003595;2;2;01;04;14;3;1;6;950.1754371;25.713290291
022019;2;20190100003596;2;2;01;04;12;3;1;6;488.56665331;51.426580582
022019;2;20190100004323;8;2;14;01;7;1;1;6;1795.1713877;178.60809435
022019;2;20190100004324;2;2;14;05;30;3;3;6;3206.941987;94.095724082
022019;2;20190100004325;2;2;14;13;18;3;3;6;2285.501688;136.86551273
022019;2;20190100004440;2;2;15;07;15;3;3;6;2869.9219849;193.30206803
022019;2;20190100004445;2;2;14;13;21;3;3;6;2391.2413879;136.86551273
022019;2;20190100004446;2;2;14;15;6;3;3;6;1327.2798434;57.616457437
022019;2;20190100004653;2;2;02;04;5;1;1;6;1104.1636336;23.686828088
022019;2;20190100005000;2;2;08;13;15;3;3;6;908.56555263;454.24399492
022019;2;20190100005002;2;2;08;12;15;3;3;6;823.5783415;208.88581479
022019;2;20190100005003;2;2;08;17;10;3;3;6;657.43025695;135.44166736
022019;2;20190100005447;8;3;03;13;2;1;3;6;575.1318411;46.477797534
022019;2;20190100006082;2;2;15;01;14;3;3;6;3113.1865435;111.28621874
022019;2;20190100006115;2;2;08;13;3;3;3;6;398.16295493;908.48798984
022019;2;20190100006116;2;2;08;13;9;3;3;6;648.50376932;227.12199746
022019;2;20190100006118;2;2;08;13;21;3;3;6;1160.4755304;227.12199746
022019;2;20190100006119;2;2;08;13;3;1;3;6;636.4015144;321.39097094
