A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170200006024;01;13;3
20170200006024;02;07;1
20170200006024;03;02;1
20170200006024;04;15;1
20170200006024;05;16;1
20170200026538;01;13;3
20180100001325;01;07;14
20180100003843;01;15;4
20180100003843;02;15;6
20180100023248;01;13;7
20180200002265;01;09;5
20180200003218;01;16;2
20180200003223;01;13;1
20180200003228;01;13;4
20180200005168;01;13;4
20180200007790;01;09;10
20180200007790;02;10;2
20180200007798;01;09;15
20180200007799;01;01;2
20180200007799;02;09;1
20180200007849;01;01;4
20180200007849;02;09;4
20180200009252;01;16;4
20180200012651;01;09;1
20180200012683;01;09;10
20180200013779;01;12;3
20180200013781;01;12;4
20180200013784;01;02;1
20180200014163;01;13;4
20180200014166;01;13;3
20180200014176;01;09;3
20180200014200;01;09;4
20180200016393;01;13;1
20180200020147;01;16;1
20180200020147;02;16;2
20180200022893;01;01;5
20180200022893;02;01;2
20180200022893;03;01;1
20180200022893;04;13;4
20180200022893;05;09;1
20180200024784;01;16;1
20180200024784;02;07;1
20180200024793;01;16;4
20180200027960;01;10;30
20180200027964;01;13;2
20180200028641;01;05;5
20180200028641;02;05;5
20180200028647;01;13;1
20180300001025;01;01;35
20180300006015;01;16;1
20180300006015;02;10;3
20180300006015;03;10;8
20180300006015;04;09;1
20180300008222;01;07;2
20180300008222;02;09;2
20180300008231;01;14;7
20180300011545;01;10;5
20180300011548;01;10;4
20180300011612;01;10;2
20180300011613;01;10;4
20180300015844;01;02;4
20180300017596;01;10;7
20180300017599;01;10;7
20180300017648;01;10;6
20180300017649;01;10;2
20180300018597;01;01;4
20180300018836;01;09;7
20180300022754;01;07;1
20180300022757;01;10;6
20180300022758;01;10;7
20180300022763;01;10;7
20180300022823;01;14;7
20180300022826;01;10;5
20180300022828;01;10;22
20180300022829;01;10;2
20180300024785;01;09;5
20180300026188;01;09;7
20180300026329;01;09;8
20180300026574;01;16;1
20180300027485;01;05;1
20180300027485;02;05;1
20180300027485;03;01;1
20180300027485;04;09;1
20180300027485;05;09;3
20180300027550;01;09;1
20180300027550;02;09;1
20180300032324;01;01;24
20180300034054;01;01;7
20180300034054;02;01;2
20180300034054;03;01;2
20180300034054;04;11;5
20180300034054;05;07;1
20180300034054;06;16;1
20180300034054;07;16;1
20190100000595;01;12;1
20190100000891;01;09;5
20190100001097;01;04;21
20190100001100;01;04;14
20190100001670;01;12;3
20190100001910;01;04;9
20190100002255;01;09;4
20190100002885;01;13;4
20190100002885;02;09;3
20190100002885;03;10;2
20190100003068;01;14;10
20190100003068;02;01;4
20190100003070;01;01;4
20190100003070;02;01;6
20190100003110;01;01;10
20190100003111;01;10;14
20190100003211;01;04;3
20190100003593;01;04;7
20190100003594;01;04;7
20190100003595;01;04;14
20190100003596;01;04;12
20190100004323;01;13;2
20190100004323;02;01;5
20190100004324;01;05;30
20190100004325;01;13;18
20190100004445;01;13;21
20190100004446;01;15;12
20190100004653;01;04;5
20190100006279;01;06;21
20190100006531;01;07;1
20190100007481;01;09;6
20190100007482;01;09;11
20190100008295;01;07;1
20190100008741;01;09;13
20190100008742;01;09;30
20190100011183;01;07;1
20190100011186;01;13;3
20190100011938;01;07;30
20190100011940;01;13;19
20190100011941;01;13;1
20190100011941;02;08;30
20190100011942;01;01;20
20190100011942;02;13;1
20190100012143;01;13;2
20190100012143;02;14;21
20190100012143;03;01;2
20190100013857;01;10;1
20190100014414;01;13;3
20190100014414;02;09;3
20190100015413;01;02;1
20190100015432;01;07;1
20190100018579;01;13;6
20190100018839;01;16;1
20190100018839;02;12;27
20190100018859;01;14;2
20190100018859;02;10;1
20190100018859;03;10;3
20190100018860;01;14;7
20190100018957;01;10;4
20190100018958;01;14;2
20190100020332;01;09;3
20190100021397;01;04;2
20190100021668;01;09;5
20190100022742;01;04;7
20190100022745;01;04;10
20190100022746;01;04;5
20190100022802;01;04;11
20190100022803;01;04;7
20190100022804;01;04;5
20190100022805;01;04;3
20190100025292;01;09;10
20190100027664;01;12;5
20190100029064;01;13;7
20190100029211;01;12;2
20190200000086;01;09;1
20190200000086;02;10;1
20190200000086;03;01;1
20190200000086;04;08;1
20190200000086;05;13;1
20190200000089;01;07;30
20190200000137;01;01;5
20190200000257;01;13;4
20190200000258;01;08;2
20190200000258;02;08;1
20190200000259;01;13;3
20190200000260;01;13;2
20190200000306;01;13;5
20190200000307;01;08;3
20190200000790;01;13;5
20190200000796;01;13;4
20190200000796;02;07;1
20190200000807;01;13;3
20190200000981;01;01;23
20190200000982;01;01;10
20190200000983;01;01;19
20190200000986;01;01;15
20190200000986;02;01;3
20190200001052;01;01;7
20190200001053;01;01;14
