mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
042019;2;20170300000002;2;2;02;10;60;3;1;6;2995.7769275;104.40985889
042019;2;20170300000003;2;2;02;10;4;3;3;6;581.87193278;96.362441415
042019;2;20170300000020;2;2;02;14;7;3;3;6;682.92929413;134.13873429
042019;2;20170400000334;2;2;10;13;4;1;2;6;1751.8316481;935.70859946
042019;2;20170400000335;2;2;10;13;3;1;2;6;1587.6286563;2350.1438916
042019;2;20170400000336;2;2;10;13;8;2;1;6;1603.9089584;8232.6065963
042019;2;20170400000543;2;2;11;10;3;1;3;6;754.75049527;170.64088355
042019;2;20170400001951;2;2;11;10;3;1;3;6;754.75049527;85.320441776
042019;2;20170400003250;2;2;11;13;1;1;2;6;604.32264795;153.93120335
042019;2;20170400005650;2;2;10;12;7;1;3;6;1096.1672512;1559.1440191
042019;2;20170400005691;2;2;11;10;5;1;2;6;1194.8425761;86.842985741
042019;2;20170400006639;2;2;02;04;5;1;1;6;775.73876818;253.54901193
042019;2;20170400006640;2;2;02;04;7;3;1;6;646.67498835;77.301731371
042019;2;20170400006641;2;2;02;04;5;3;1;6;701.33995139;154.60346274
042019;2;20170400006642;2;2;02;04;5;1;1;6;1206.0293296;126.77450597
042019;2;20170400006643;2;2;02;04;5;1;1;6;1132.2847795;126.77450597
042019;2;20170400016934;2;2;12;04;3;3;1;6;538.76910596;173.7408051
042019;2;20170400018608;2;2;02;04;5;1;1;6;1266.253532;63.387252983
042019;2;20170400018609;2;2;02;04;4;3;1;6;611.14806273;86.983727286
042019;2;20170400018737;2;2;02;04;3;1;1;6;559.37016742;204.17332813
042019;2;20170400018738;2;2;02;04;3;3;1;6;589.89042332;77.301731371
042019;2;20170400018739;2;2;02;04;4;1;1;6;956.77943636;160.88496762
042019;2;20170400020086;2;2;02;04;7;1;1;1;1198.8039004;100.85787401
042019;2;20170400020091;2;2;02;04;2;3;1;6;451.88033748;86.983727286
042019;2;20170400026190;2;2;02;04;7;1;1;1;909.27353142;201.71574801
042019;2;20170400027976;2;2;11;10;4;1;1;6;891.50254595;118.63149505
042019;2;20170400034807;2;2;02;04;7;1;1;6;827.26518642;39.358165707
042019;2;20170400034862;2;2;02;04;4;1;1;6;956.77943636;160.88496762
042019;2;20170400034863;2;2;02;04;14;3;1;6;985.7514667;86.983727286
042019;2;20170400036309;2;2;02;04;7;1;1;6;861.19519727;78.716331415
042019;2;20170400036311;2;2;02;04;7;1;1;6;1125.3951917;78.716331415
042019;2;20170400037417;2;2;11;10;3;1;1;6;754.75049527;138.66858013
042019;2;20170500008084;2;2;10;13;6;3;1;6;979.25546679;2015.2212946
042019;2;20170500009633;2;2;11;10;6;2;3;6;1308.6566397;88.219265152
042019;2;20170500011030;2;2;11;10;5;1;2;6;1041.5752705;1736.8597148
042019;2;20170500016751;2;2;11;10;7;1;2;6;1321.2355859;127.11845681
042019;2;20170500016826;2;2;11;10;21;3;2;6;1957.2588784;70.209302527
042019;2;20170500016835;2;2;11;10;1;1;2;6;478.33621712;162.12388667
042019;2;20170500038400;2;2;11;10;4;1;1;6;830.63006498;237.26299011
