mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
062019;2;20170500000675;2;2;15;13;5;1;1;6;3765.0302536;101.20810911
062019;2;20170500001403;8;2;15;16;6;1;1;6;2939.9292144;423.54713385
062019;2;20170500001411;2;2;15;16;4;1;1;6;3360.7457716;591.80446143
062019;2;20170500001424;8;2;15;16;1;1;1;6;2346.4054391;488.72321675
062019;2;20170500006018;2;2;11;04;4;1;1;6;1037.9049106;686.41943063
062019;2;20170500006082;2;2;11;04;3;3;1;6;624.57165021;168.66201717
062019;2;20170500008084;2;2;10;13;6;3;1;6;983.13038952;1890.2632677
062019;2;20170500034098;2;2;15;13;18;1;1;6;5783.7564635;0.2718412273
062019;2;20170600000266;2;2;02;04;7;1;1;1;991.94906519;1294.2586297
062019;2;20170600000267;2;2;02;04;4;1;1;1;954.58158814;718.93793812
062019;2;20170600009890;2;2;15;12;19;1;2;6;6102.7225592;9.9873252173
062019;2;20170600013620;2;2;02;04;7;3;1;6;691.27982695;125.47580011
062019;2;20170600013621;2;2;02;04;7;3;1;6;691.27982695;125.47580011
062019;2;20170600013624;2;2;11;04;2;1;2;6;657.08723124;331.66604787
062019;2;20170600013716;2;2;02;04;6;1;1;1;1204.7323697;670.23100797
062019;2;20170600013717;2;2;02;04;8;3;1;6;750.01449845;125.47580011
062019;2;20170600013718;2;2;02;04;5;3;1;6;701.0025898;1129.282201
062019;2;20170600021066;2;2;02;04;8;2;1;6;1185.3653364;449.86469378
062019;2;20170600022603;2;2;15;16;4;1;2;6;3616.0506701;239.07111951
062019;2;20170600024715;2;2;11;04;7;1;1;6;1307.4594413;1049.4837401
062019;2;20170600024716;2;2;11;04;8;2;1;6;1556.9874561;590.90675636
062019;2;20170600026641;2;2;15;09;6;1;1;6;2208.7147163;79.865348221
062019;2;20170600028251;2;2;15;13;5;1;2;6;4068.4659799;81.770035629
062019;2;20170600028329;2;2;15;13;4;1;2;6;3682.0862831;128.93051712
062019;2;20170600033257;2;2;10;16;3;1;2;6;1540.1737845;1378.6323956
062019;2;20170600033477;2;2;15;13;5;1;2;6;4068.4659799;81.770035629
062019;2;20180400003457;2;2;10;13;2;1;3;6;1206.207873;859.10844922
062019;2;20180400004149;2;2;02;04;4;1;1;6;966.31807707;634.92673568
062019;2;20180400030631;2;2;10;13;4;1;1;6;1613.5330308;1875.8816385
062019;2;20180400030637;2;2;10;13;4;1;1;6;1613.5330308;937.94081924
062019;2;20180500001430;2;2;15;13;5;1;1;6;3743.2512474;101.20810911
062019;2;20180500001505;2;2;10;01;17;1;1;1;2329.3016287;1849.7224815
062019;2;20180500015507;2;2;10;10;4;3;1;6;877.65729088;620.56911077
062019;2;20180500019439;2;2;15;13;3;1;1;6;3078.7655652;325.52778581
062019;2;20180500021124;2;2;15;13;3;1;2;1;1648.6004327;230.18925593
062019;2;20180600006573;2;2;02;04;3;1;1;6;784.71020505;657.59281224
062019;2;20180600006574;2;2;02;04;60;3;1;6;2734.5505119;140.43107351
062019;2;20180600029262;2;2;12;04;4;3;1;6;689.04148112;523.09243986
062019;2;20180600031054;2;2;15;16;2;1;2;6;2833.2920203;334.04394415
062019;2;20180600034767;2;2;11;04;3;1;1;6;888.43472114;375.35383408
062019;2;20180600034995;2;2;15;13;2;1;1;6;2395.6195319;396.73445921
062019;2;20180600036586;2;2;15;01;12;1;1;6;4009.1964157;217.94954126
062019;2;20180600039879;2;2;15;01;22;3;1;6;3203.0118572;422.52370418
062019;2;20180600039936;2;2;10;13;4;1;1;6;1627.4088118;1964.8312982
062019;2;20180600041287;2;2;02;04;4;1;1;6;966.31807707;634.92673568
