A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170100000180;01;04;2
20170100000182;01;04;9
20170100000190;01;04;3
20170100000191;01;04;3
20170100000193;01;04;7
20170100001484;01;13;17
20170100006074;01;13;7
20170100010071;01;04;5
20170100010072;01;04;30
20170100010073;01;04;7
20170100010075;01;04;14
20170100010078;01;04;10
20170100010079;01;04;30
20170100010080;01;04;1
20170100010081;01;04;9
20170100012283;01;04;2
20170100012284;01;04;30
20170100012285;01;04;5
20170100012286;01;04;2
20170100012314;01;04;7
20170100012315;01;04;2
20170100012316;01;04;5
20170100015904;01;10;6
20170100015909;01;14;14
20170100015937;01;14;7
20170100029546;01;13;3
20170100029546;02;09;3
20170100030165;01;13;14
20170200000132;01;14;4
20170200000132;02;14;4
20170200000133;01;10;7
20170200000166;01;14;7
20170200000167;01;14;3
20170200000170;01;14;3
20170200002153;01;14;90
20170200002154;01;10;3
20170200002155;01;14;6
20170200002156;01;14;6
20170200002194;01;14;14
20170200002195;01;14;30
20170200002196;01;14;9
20170200002198;01;14;3
20170200006024;01;13;3
20170200006024;02;07;1
20170200006024;03;02;1
20170200006024;04;15;1
20170200006024;05;16;1
20170200006159;01;14;3
20170200006160;01;10;7
20170200013233;01;14;10
20170200013234;01;14;3
20170200013235;01;14;7
20170200013235;02;10;9
20170200013292;01;03;5
20170200013293;01;14;7
20170200026538;01;13;3
20170300000024;01;14;20
20180100000216;01;13;2
20180100000216;02;09;2
20180100000594;01;13;3
20180100000597;01;13;6
20180100000687;01;13;10
20180100000687;02;01;5
20180100000810;01;07;1
20180100000810;02;11;1
20180100000810;03;01;2
20180100000824;01;01;10
20180100000826;01;01;1
20180100000826;02;01;1
20180100000826;03;01;1
20180100000919;01;16;6
20180100000933;01;13;3
20180100000995;01;09;3
20180100000996;01;09;5
20180100001325;01;07;14
20180100001342;01;01;20
20180100001342;02;01;3
20180100001342;03;07;5
20180100002352;01;10;7
20180100002353;01;10;15
20180100002354;01;10;15
20180100002459;01;13;10
20180100002459;02;10;7
20180100002460;01;10;6
20180100002461;01;10;3
20180100002461;02;10;10
20180100002783;01;13;2
20180100002784;01;13;7
20180100002784;02;01;7
20180100002788;01;13;9
20180100002791;01;13;21
20180100002834;01;09;4
20180100002834;02;13;4
20180100002834;03;01;1
20180100002836;01;09;3
20180100002841;01;07;14
20180100002842;01;13;14
20180100002843;01;07;9
20180100002843;02;13;2
20180100002853;01;13;10
20180100003293;01;09;4
20180100003464;01;04;7
20180100003464;02;09;3
20180100003843;01;15;4
20180100003843;02;15;6
20180100004061;01;13;4
20180100004319;01;09;7
20180100004319;02;10;8
20180100004320;01;10;3
20180100004320;02;10;5
20180100004320;03;10;7
20180100004321;01;10;10
20180100004322;01;10;8
20180100004322;02;10;10
20180100004417;01;10;6
20180100004417;02;10;3
20180100004418;01;10;15
20180100004419;01;10;17
20180100004420;01;10;25
20180100004422;01;10;15
20180100004422;02;10;2
20180100004494;01;09;7
20180100004525;01;09;35
20180100004615;01;09;6
20180100004616;01;09;6
20180100004979;01;09;3
20180100004980;01;09;3
20180100004982;01;09;10
20180100004983;01;09;14
20180100005136;01;09;14
20180100005137;01;09;9
20180100005139;01;09;14
20180100005140;01;09;17
20180100005604;01;04;14
20180100005605;01;04;4
20180100005718;01;13;14
20180100005730;01;13;7
20180100005730;02;12;7
20180100005732;01;13;1
20180100005733;01;13;3
20180100005736;01;13;5
20180100005738;01;13;14
20180100005830;01;05;4
20180100005837;01;13;6
20180100005838;01;13;6
20180100005840;01;13;7
20180100005841;01;13;4
20180100006305;01;15;2
20180100006362;01;13;3
20180100006773;01;13;6
20180100006908;01;10;16
20180100006909;01;10;5
20180100006909;02;05;4
20180100006909;03;05;3
20180100006909;04;10;3
20180100006910;01;10;16
20180100006982;01;04;7
20180100007013;01;10;9
20180100007013;02;14;8
20180100007013;03;10;6
20180100007015;01;10;9
20180100007017;01;10;5
20180100007017;02;10;5
20180100007189;01;13;7
20180100007189;02;13;6
20180100007190;01;13;14
20180100007191;01;16;14
20180100007192;01;03;15
20180100007193;01;14;10
20180100007194;01;13;14
20180100007249;01;03;21
20180100007249;02;13;2
20180100007250;01;09;2
20180100007250;02;13;2
20180100007250;03;01;2
20180100007251;01;13;20
20180100007252;01;13;15
20180100007255;01;07;14
20180100007256;01;13;6
20180100007256;02;10;3
20180100007258;01;01;15
20180100007259;01;09;7
20180100007259;02;13;7
20180100007301;01;13;10
20180100007304;01;13;15
20180100007304;02;06;3
20180100007305;01;04;9
20180100007306;01;13;11
20180100007306;02;01;5
20180100007307;01;13;7
20180100007308;01;13;14
20180100007308;02;15;4
20180100007350;01;13;3
20180100007352;01;13;14
20180100007353;01;13;2
20180100007354;01;07;15
20180100007355;01;13;12
20180100007355;02;01;3
20180100007358;01;07;14
20180100007359;01;13;3
20180100007476;01;08;1
20180100007479;01;10;1
20180100007531;01;14;20
20180100007532;01;14;15
20180100007533;01;10;3
20180100007534;01;10;15
20180100007606;01;10;7
20180100007607;01;10;30
20180100007608;01;10;19
20180100008543;01;09;3
20180100008544;01;09;18
20180100008587;01;09;20
20180100008589;01;09;3
20180100008719;01;13;14
20180100008722;01;16;21
20180100008926;01;13;2
20180100008931;01;13;12
20180100009067;01;12;17
20180100009149;01;01;30
20180100009153;01;01;30
20180100009937;01;09;7
20180100009940;01;10;3
20180100009940;02;09;5
20180100010172;01;09;3
20180100010172;02;09;2
20180100010172;03;13;3
20180100010172;04;13;3
20180100010598;01;10;11
20180100010600;01;10;12
20180100010601;01;10;6
