"mes";"A1";"pais";"ccaa";"A13";"aloja";"motivo";"A16";"gastototal";"gastomedio"
1;2;14;9;35;3;3;6;2709.8843253;77.4252664371429
1;2;14;9;6;2;1;6;1742.7904709;290.465078483333
1;2;14;9;6;2;1;6;1687.4415639;281.24026065
1;2;6;9;3;1;1;6;815.79156499;271.930521663333
1;2;6;9;3;1;1;6;815.79156499;271.930521663333
1;2;6;9;10;3;3;6;746.13907693;74.613907693
1;2;6;9;14;3;3;6;1369.3449016;97.8103501142857
1;2;6;9;14;3;1;6;974.38408629;69.5988633064286
1;2;6;9;9;3;1;6;794.90905852;88.3232287244444
1;2;6;9;14;3;1;6;1055.8109388;75.4150670571429
1;2;6;9;17;3;1;6;1141.2791613;67.1340683117647
1;2;6;4;14;3;1;6;864.30735896;61.7362399257143
1;2;6;4;4;3;1;6;615.56708826;153.891772065
1;2;5;13;14;3;3;6;866.02263615;61.858759725
1;2;5;13;14;3;3;6;809.70653126;57.8361808042857
1;2;5;13;1;3;3;6;224.98672758;224.98672758
1;2;5;13;3;3;1;6;394.82606052;131.60868684
1;2;5;13;5;3;3;6;538.37234236;107.674468472
1;2;5;13;14;3;3;6;677.46656561;48.3904689721429
1;2;5;5;4;1;1;6;983.86795252;245.96698813
1;2;5;13;6;1;1;6;768.54992139;128.091653565
1;2;15;13;6;1;1;6;3763.625204;627.270867333333
1;2;5;13;7;3;3;6;504.61534515;72.08790645
1;2;5;13;4;3;1;6;440.04141619;110.0103540475
1;1;7;15;2;1;3;6;233.97162103;116.985810515
1;1;7;13;3;3;3;6;241.51033876;80.5034462533333
1;2;15;13;6;1;1;6;1175.1757365;195.86262275
1;2;9;10;16;3;3;6;1049.2270155;65.57668846875
1;2;9;10;15;3;3;6;1663.4041296;110.89360864
1;2;9;10;16;3;3;6;1006.3929375;62.89955859375
1;2;9;4;7;3;3;6;603.02269469;86.1460992414286
1;2;9;10;23;3;3;6;1394.0915929;60.6126779521739
1;2;9;10;9;3;3;6;786.70359809;87.4115108988889
1;2;9;10;10;3;3;6;581.87480444;58.187480444
1;2;1;13;13;3;3;6;1362.8168549;104.832065761538
1;2;1;13;14;3;3;6;837.26833783;59.8048812735714
1;2;1;16;14;3;3;6;884.01928285;63.1442344892857
1;2;1;3;15;3;3;6;805.38541831;53.6923612206667
1;2;1;14;10;3;3;6;700.7303184;70.07303184
1;2;1;13;14;3;3;6;837.26833783;59.8048812735714
1;2;5;3;23;3;3;6;975.68138278;42.420929686087
1;2;5;9;6;3;3;6;622.80489473;103.800815788333
1;2;5;13;20;3;3;6;1031.3359627;51.566798135
1;2;5;13;15;3;3;6;773.44029385;51.5626862566667
1;2;1;7;14;3;3;6;847.40713556;60.5290811114286
1;2;1;13;9;3;3;6;771.63974528;85.7377494755556
1;2;1;1;15;3;3;6;893.1185403;59.54123602
1;2;1;9;14;3;3;6;710.84823998;50.7748742842857
1;2;5;13;10;3;3;6;630.74013984;63.074013984
1;2;1;13;18;3;3;6;1092.8125497;60.7118083166667
1;2;1;4;9;3;1;6;740.90337604;82.3225973377778
