A0_1;C9_0;ccaa_etapa;pernoc_etapa
20171200015552;01;13;3
20171200015561;01;13;5
20171200022199;01;13;22
20171200027063;01;13;4
20171200027810;01;13;4
20181000010752;01;13;14
20181000010752;02;08;1
20181100025918;01;16;3
20181200006964;01;13;4
20181200011694;01;16;14
20181200015187;01;13;3
20181200015257;01;13;3
20181200021568;01;13;1
20191000000099;01;04;3
20191000000100;01;04;7
20191000000101;01;04;5
20191000000102;01;04;9
20191000000103;01;04;7
20191000000104;01;04;10
20191000000106;01;04;5
20191000000107;01;04;6
20191000000108;01;04;7
20191000000146;01;04;4
20191000000147;01;04;14
20191000000149;01;04;7
20191000000150;01;04;1
20191000000151;01;04;4
20191000000153;01;04;90
20191000000154;01;04;15
20191000000154;02;04;15
20191000000155;01;04;7
20191000000157;01;04;6
20191000000908;01;15;1
20191000001140;01;13;1
20191000001140;02;01;2
20191000001146;01;09;3
20191000001146;02;09;1
20191000001146;03;10;2
20191000001147;01;13;3
20191000001154;01;09;1
20191000001388;01;04;7
20191000001389;01;04;4
20191000001390;01;04;4
20191000001391;01;04;3
20191000001429;01;04;2
20191000001432;01;04;5
20191000002344;01;01;2
20191000002364;01;07;2
20191000002373;01;01;21
20191000002390;01;01;10
20191000002616;01;16;2
20191000002616;02;02;1
20191000004153;01;10;20
20191000004166;01;13;3
20191000004201;01;09;1
20191000004209;01;09;7
20191000004227;01;09;4
20191000004236;01;09;2
20191000004243;01;04;10
20191000004244;01;09;6
20191000004253;01;09;2
20191000004262;01;09;1
20191000004264;01;09;1
20191000004277;01;09;2
20191000004301;01;09;3
20191000004302;01;09;3
20191000004313;01;07;6
20191000004321;01;01;2
20191000004331;01;09;2
20191000004336;01;09;4
20191000005058;01;04;7
20191000005059;01;04;11
20191000005061;01;04;7
20191000005062;01;04;7
20191000005103;01;04;7
20191000005121;01;04;7
20191000005122;01;04;9
20191000005123;01;04;7
20191000005124;01;04;7
20191000005153;01;04;6
20191000005155;01;04;7
20191000005156;01;04;4
20191000005598;01;09;3
20191000006856;01;04;7
20191000006857;01;04;7
20191000006859;01;04;7
20191000006873;01;04;7
20191000006874;01;04;7
20191000006875;01;04;5
20191000006876;01;04;3
20191000006877;01;04;7
20191000006878;01;04;35
20191000006893;01;04;7
20191000006913;01;04;7
20191000006914;01;04;7
20191000006926;01;04;7
20191000006927;01;04;17
20191000006928;01;04;4
20191000006929;01;04;6
20191000006930;01;04;6
20191000006931;01;04;5
20191000006947;01;04;7
20191000007357;01;12;6
20191000007357;02;13;1
20191000008678;01;02;7
20191000008688;01;09;2
20191000008688;02;09;2
20191000008688;03;10;2
20191000009446;01;04;35
20191000009447;01;04;5
20191000009448;01;04;3
20191000009482;01;04;3
20191000009483;01;04;2
20191000009484;01;04;35
20191000009500;01;04;7
20191000011195;01;02;1
20191000011202;01;02;1
20191000011202;02;02;1
20191000011202;03;02;1
20191000011329;01;17;2
20191000011352;01;09;5
20191000011352;02;10;4
20191000011352;03;13;3
20191000011357;01;13;2
20191000011363;01;13;5
20191000011368;01;12;4
20191000011374;01;12;5
20191000011380;01;13;5
20191000011380;02;12;5
20191000011389;01;12;5
20191000011391;01;12;1
20191000013150;01;13;4
20191000013164;01;13;5
20191000014316;01;04;10
20191000014317;01;04;7
20191000014318;01;04;14
20191000014319;01;04;3
20191000015252;01;16;1
20191000015253;01;06;1
20191000015253;02;10;8
20191000015253;03;10;20
20191000015253;04;02;1
20191000015260;01;02;5
20191000015260;02;08;5
20191000015260;03;10;6
20191000015260;04;01;10
20191000015260;05;11;2
20191000015775;01;04;3
20191000015776;01;04;4
20191000015777;01;04;7
20191000015779;01;04;5
20191000015780;01;04;7
20191000015819;01;04;3
20191000015820;01;04;3
20191000015821;01;04;7
20191000015822;01;04;7
20191000015823;01;04;7
20191000015824;01;04;5
20191000015829;01;04;9
20191000015840;01;04;7
20191000016582;01;09;2
20191000016582;02;02;2
20191000016582;03;15;2
20191000016582;04;02;1
20191000016582;05;09;2
20191000016588;01;09;2
20191000016591;01;09;4
20191000016606;01;09;2
20191000016625;01;09;3
20191000016631;01;09;5
20191000016639;01;09;6
20191000016648;01;09;2
20191000016654;01;01;4
20191000016654;02;09;4
20191000016658;01;09;4
20191000016667;01;10;2
20191000016667;02;09;8
20191000016670;01;09;6
20191000018293;01;11;1
20191000018293;02;01;1
20191000018297;01;01;11
20191000018300;01;01;26
20191000018322;01;06;12
20191000018322;02;13;5
20191000018322;03;01;10
20191000018322;04;09;4
20191000018326;01;02;10
20191000018326;02;13;3
20191000018326;03;02;2
20191000020035;01;01;10
20191000020135;01;02;1
20191000020137;01;09;6
20191000020486;01;12;5
20191000020497;01;12;5
20191000020504;01;12;16
20191000020509;01;12;3
20191000021181;01;04;1
20191000021181;02;04;1
20191000021181;03;04;2
20191000021181;04;04;1
20191000021181;05;04;1
20191000021181;06;04;1
20191000021184;01;04;6
20191000021251;01;04;4
20191000021251;02;04;1
20191000021252;01;04;1
20191000021252;02;04;3
20191000021325;01;04;12
20191000022149;01;10;7
20191000022158;01;09;3
20191000022162;01;09;2
20191000022169;01;09;2
20191000022177;01;09;15
20191000022184;01;01;8
20191000022186;01;09;30
20191000022193;01;09;3
20191000022197;01;09;9
20191000022204;01;01;1
20191000022209;01;13;5
20191000022213;01;13;6
20191000022221;01;09;5
20191000022224;01;09;1
20191000022224;02;13;6
20191000022235;01;09;5
20191000022239;01;02;5
20191000023681;01;09;3
20191000023734;01;09;5
20191000023735;01;09;5
20191000023736;01;09;3
20191000023926;01;15;1
20191000024718;01;04;7
20191000024719;01;04;6
20191000024720;01;04;4
20191000024721;01;04;7
20191000024722;01;04;11
20191000024723;01;04;3
20191000024724;01;04;3
20191000024766;01;04;7
20191000024769;01;04;7
20191000025129;01;04;5
20191000025132;01;04;3
20191000025253;01;04;7
20191000025253;02;04;8
20191000025254;01;04;5
20191000025898;01;16;4
20191000025898;02;13;2
20191000025917;01;12;2
20191000025922;01;12;5
20191000025928;01;12;2
20191000025944;01;09;1
20191000025952;01;09;10
20191000025956;01;09;3
20191000025962;01;09;3
20191000027662;01;07;1
20191000027679;01;13;4
20191000027679;02;01;2
20191000027679;03;01;1
20191000027679;04;01;1
20191000027679;05;01;3
20191000027679;06;07;1
20191000027679;07;16;3
20191000027679;08;02;1
20191000027679;09;09;5
20191000027688;01;09;11
20191000027688;02;09;1
20191000027693;01;01;6
20191000027693;02;01;12
20191000027693;03;09;2
20191000027704;01;09;12
20191000027713;01;13;3
20191000027719;01;09;3
20191000028087;01;04;11
20191000028088;01;04;5
20191000028108;01;04;7
20191000028110;01;04;9
