A0_1;C9_0;ccaa_etapa;pernoc_etapa
20171100008978;01;13;5
20171100035095;01;16;4
20171100035155;01;13;6
20171200015552;01;13;3
20171200015561;01;13;5
20171200022199;01;13;22
20171200027063;01;13;4
20171200027810;01;13;4
20181000010752;01;13;14
20181000010752;02;08;1
20181100000659;01;04;4
20181100000660;01;04;3
20181100000668;01;04;4
20181100000669;01;04;7
20181100002300;01;07;1
20181100002473;01;04;7
20181100002485;01;04;2
20181100002490;01;04;2
20181100002491;01;04;30
20181100002492;01;04;7
20181100002493;01;04;2
20181100002499;01;04;3
20181100005485;01;04;4
20181100005499;01;04;7
20181100005501;01;04;9
20181100007599;01;02;30
20181100007732;01;04;5
20181100011203;01;07;1
20181100013895;01;13;1
20181100014102;01;16;4
20181100016005;01;01;15
20181100018626;01;07;1
20181100019483;01;12;1
20181100021506;01;10;1
20181100021506;02;01;2
20181100021518;01;01;21
20181100021529;01;01;5
20181100025538;01;01;7
20181100025918;01;16;3
20181100027433;01;12;1
20181100032253;01;13;2
20181100032253;02;09;2
20181200006964;01;13;4
20181200011694;01;16;14
20181200015187;01;13;3
20181200015257;01;13;3
20181200021568;01;13;1
20191000000099;01;04;3
20191000000100;01;04;7
20191000000101;01;04;5
20191000000102;01;04;9
20191000000103;01;04;7
20191000000104;01;04;10
20191000000106;01;04;5
20191000000107;01;04;6
20191000000108;01;04;7
20191000000146;01;04;4
20191000000147;01;04;14
20191000000149;01;04;7
20191000000150;01;04;1
20191000000151;01;04;4
20191000000153;01;04;90
20191000000154;01;04;15
20191000000154;02;04;15
20191000000155;01;04;7
20191000000157;01;04;6
20191000000908;01;15;2
20191000001140;01;13;1
20191000001140;02;01;2
20191000001146;01;09;3
20191000001146;02;09;1
20191000001146;03;10;2
20191000001147;01;13;3
20191000001154;01;09;1
20191000001196;01;09;2
20191000001388;01;04;7
20191000001389;01;04;4
20191000001390;01;04;4
20191000001391;01;04;3
20191000001429;01;04;2
20191000001432;01;04;5
20191000002305;01;07;7
20191000002305;02;07;7
20191000002305;03;07;7
20191000002305;04;06;4
20191000002307;01;07;1
20191000002308;01;07;1
20191000002344;01;01;2
20191000002364;01;07;2
20191000002373;01;01;21
20191000002390;01;01;10
20191000002399;01;01;5
20191000002616;01;16;2
20191000002616;02;02;1
20191000003936;01;07;3
20191000004153;01;10;20
20191000004166;01;13;3
20191000004201;01;09;1
20191000004209;01;09;7
20191000004227;01;09;4
20191000004236;01;09;2
20191000004243;01;04;10
20191000004244;01;09;6
20191000004253;01;09;2
20191000004262;01;09;1
20191000004264;01;09;1
20191000004277;01;09;2
20191000004301;01;09;3
20191000004302;01;09;3
20191000004313;01;07;6
20191000004321;01;01;2
20191000004331;01;09;2
20191000004336;01;09;4
20191000004422;01;13;2
20191000004422;02;09;4
20191000004448;01;09;1
20191000004449;01;09;3
20191000004450;01;09;4
20191000004452;01;09;10
20191000004475;01;09;3
20191000004538;01;09;6
20191000004539;01;09;3
20191000004656;01;16;21
20191000004661;01;01;4
20191000004661;02;16;3
20191000005058;01;04;7
20191000005059;01;04;11
20191000005061;01;04;7
20191000005062;01;04;7
20191000005102;01;04;7
20191000005103;01;04;7
20191000005121;01;04;7
20191000005122;01;04;9
20191000005123;01;04;7
20191000005124;01;04;7
20191000005153;01;04;6
20191000005155;01;04;7
20191000005156;01;04;4
20191000005598;01;09;3
20191000005751;01;13;1
20191000005907;01;12;1
20191000006513;01;10;10
20191000006856;01;04;7
20191000006857;01;04;7
20191000006859;01;04;7
20191000006873;01;04;7
20191000006874;01;04;7
20191000006875;01;04;5
20191000006876;01;04;3
20191000006877;01;04;7
20191000006878;01;04;35
20191000006893;01;04;7
20191000006913;01;04;7
20191000006914;01;04;7
20191000006926;01;04;7
20191000006927;01;04;17
20191000006928;01;04;4
20191000006929;01;04;6
20191000006930;01;04;6
20191000006931;01;04;5
20191000006947;01;04;7
20191000007357;01;12;6
20191000007357;02;13;1
20191000007947;01;02;4
20191000007948;01;02;90
20191000007949;01;02;7
20191000008268;01;01;7
20191000008378;01;10;14
20191000008434;01;13;1
20191000008434;02;08;5
20191000008437;01;12;15
20191000008678;01;02;7
20191000008688;01;09;1
20191000008688;02;09;1
20191000008688;03;10;1
20191000009446;01;04;35
20191000009447;01;04;5
20191000009448;01;04;3
20191000009482;01;04;3
20191000009483;01;04;2
20191000009484;01;04;35
20191000009500;01;04;7
20191000011153;01;07;1
20191000011195;01;02;1
20191000011202;01;02;1
20191000011202;02;02;1
20191000011202;03;02;1
20191000011329;01;17;2
20191000011352;01;09;5
20191000011352;02;10;4
20191000011352;03;13;3
20191000011357;01;13;2
20191000011363;01;13;5
20191000011368;01;12;4
20191000011374;01;12;5
20191000011380;01;13;5
20191000011380;02;12;5
20191000011389;01;12;5
20191000011391;01;12;1
20191000011394;01;10;7
20191000011434;01;10;7
20191000011784;01;04;3
20191000011876;01;04;3
20191000013150;01;13;4
20191000013164;01;13;5
20191000013423;01;09;33
20191000014316;01;04;10
20191000014317;01;04;7
20191000014318;01;04;14
20191000014319;01;04;3
20191000014511;01;12;1
20191000014522;01;12;15
20191000015204;01;11;11
20191000015252;01;16;1
20191000015253;01;06;1
20191000015253;02;10;8
20191000015253;03;10;20
20191000015253;04;02;1
20191000015260;01;02;5
20191000015260;02;08;5
20191000015260;03;10;6
20191000015260;04;01;10
20191000015260;05;11;2
20191000015317;01;01;7
20191000015775;01;04;3
20191000015776;01;04;4
20191000015777;01;04;7
20191000015779;01;04;5
20191000015780;01;04;7
20191000015781;01;04;6
20191000015782;01;04;5
20191000015783;01;04;15
20191000015819;01;04;3
20191000015820;01;04;3
20191000015821;01;04;7
20191000015822;01;04;7
20191000015823;01;04;7
20191000015824;01;04;5
20191000015826;01;04;14
20191000015827;01;04;7
20191000015828;01;04;7
20191000015829;01;04;9
20191000015840;01;04;7
20191000016113;01;13;1
20191000016114;01;13;4
20191000016274;01;13;2
20191000016275;01;01;7
20191000016277;01;04;22
20191000016540;01;12;1
20191000016582;01;09;2
20191000016582;02;02;2
20191000016582;03;15;2
20191000016582;04;02;1
20191000016582;05;09;2
20191000016588;01;09;2
20191000016591;01;09;4
20191000016606;01;09;2
20191000016625;01;09;3
20191000016631;01;09;5
20191000016639;01;09;6
20191000016648;01;09;2
20191000016654;01;01;4
20191000016654;02;09;4
20191000016658;01;09;4
20191000016667;01;10;2
20191000016667;02;09;8
20191000016670;01;09;6
20191000016740;01;10;5
20191000016741;01;04;6
20191000016742;01;10;4
20191000016808;01;10;5
20191000016809;01;01;7
20191000017261;01;01;4
20191000017261;02;01;2
20191000017261;03;13;4
20191000017264;01;13;9
20191000017264;02;17;1
20191000017264;03;12;1
20191000017264;04;08;3
20191000017314;01;13;3
20191000018156;01;16;1
20191000018166;01;07;1
20191000018166;02;01;3
20191000018166;03;01;1
20191000018166;04;01;2
20191000018166;05;01;2
20191000018166;06;01;1
20191000018166;07;01;3
20191000018166;08;01;2
20191000018166;09;07;1
20191000018172;01;07;1
20191000018176;01;07;2
20191000018293;01;11;2
20191000018293;02;01;2
20191000018297;01;01;11
20191000018300;01;01;26
20191000018322;01;06;12
20191000018322;02;13;5
20191000018322;03;01;10
20191000018322;04;09;4
20191000018323;01;02;1
20191000018326;01;02;10
20191000018326;02;13;3
20191000018326;03;02;2
20191000018689;01;16;5
20191000019153;01;05;15
20191000019153;02;07;3
20191000020035;01;01;10
20191000020135;01;02;1
20191000020137;01;09;6
20191000020486;01;12;5
20191000020497;01;12;5
20191000020504;01;12;16
20191000020509;01;12;3
20191000020512;01;10;7
20191000020514;01;10;4
20191000020515;01;10;1
20191000020600;01;10;2
20191000020600;02;10;2
20191000020600;03;10;2
20191000020744;01;04;5
20191000020745;01;04;7
20191000020811;01;04;5
20191000020812;01;04;4
20191000020817;01;09;4
20191000020817;02;13;3
20191000020923;01;13;4
20191000021181;01;04;1
20191000021181;02;04;1
20191000021181;03;04;2
20191000021181;04;04;1
20191000021181;05;04;1
20191000021181;06;04;1
20191000021184;01;04;6
20191000021251;01;04;4
20191000021251;02;04;1
20191000021252;01;04;1
20191000021252;02;04;3
20191000021325;01;04;12
20191000022149;01;10;7
20191000022158;01;09;3
20191000022162;01;09;2
20191000022169;01;09;2
20191000022177;01;09;15
20191000022184;01;01;8
20191000022186;01;09;30
20191000022193;01;09;3
20191000022197;01;09;9
20191000022204;01;01;1
20191000022209;01;13;5
20191000022213;01;13;6
20191000022221;01;09;5
20191000022224;01;09;1
20191000022224;02;13;6
20191000022235;01;09;5
20191000022239;01;02;5
20191000022471;01;09;3
20191000022471;02;09;4
20191000022472;01;09;2
20191000022473;01;09;2
20191000022475;01;09;2
20191000022579;01;09;2
20191000022580;01;09;2
20191000022581;01;09;2
20191000022623;01;15;2
20191000022629;01;09;4
20191000022661;01;13;7
20191000022663;01;09;3
20191000022663;02;13;3
20191000022778;01;13;4
20191000022778;02;01;2
20191000022778;03;09;4
20191000022781;01;13;3
20191000022781;02;09;3
20191000022781;03;16;2
20191000023379;01;09;7
20191000023380;01;09;5
20191000023381;01;09;7
20191000023382;01;09;5
20191000023382;02;09;3
20191000023382;03;09;1
20191000023383;01;02;4
20191000023681;01;09;3
20191000023734;01;09;5
20191000023735;01;09;5
20191000023736;01;09;3
20191000023744;01;13;3
20191000023852;01;13;2
20191000023926;01;15;2
20191000024596;01;09;2
20191000024597;01;09;5
20191000024636;01;09;3
20191000024638;01;09;4
20191000024647;01;09;2
20191000024686;01;09;4
20191000024687;01;09;7
20191000024688;01;04;5
20191000024689;01;09;3
20191000024718;01;04;7
20191000024719;01;04;6
20191000024720;01;04;4
20191000024721;01;04;7
20191000024722;01;04;11
20191000024723;01;04;3
20191000024724;01;04;3
20191000024766;01;04;7
20191000024769;01;04;7
20191000025129;01;04;5
20191000025132;01;04;3
20191000025253;01;04;7
20191000025253;02;04;8
20191000025254;01;04;5
20191000025310;01;03;5
20191000025390;01;10;3
20191000025393;01;10;4
20191000025424;01;10;7
20191000025543;01;02;9
20191000025544;01;13;3
20191000025546;01;05;14
20191000025547;01;05;20
20191000025655;01;13;6
20191000025657;01;13;2
20191000025659;01;13;3
20191000025872;01;09;2
20191000025872;02;02;1
20191000025898;01;16;4
20191000025898;02;13;2
20191000025917;01;12;2
20191000025922;01;12;5
20191000025928;01;12;2
20191000025944;01;09;1
20191000025952;01;09;10
20191000025956;01;09;3
20191000025962;01;09;3
20191000026974;01;12;2
20191000027053;01;09;3
20191000027053;02;16;1
20191000027650;01;07;1
20191000027650;02;09;1
20191000027662;01;07;1
20191000027679;01;13;4
20191000027679;02;01;2
20191000027679;03;01;1
20191000027679;04;01;1
20191000027679;05;01;3
20191000027679;06;07;1
20191000027679;07;16;3
20191000027679;08;02;1
20191000027679;09;09;5
20191000027688;01;09;11
20191000027688;02;09;1
20191000027693;01;01;6
20191000027693;02;01;12
20191000027693;03;09;2
20191000027704;01;09;12
20191000027713;01;13;3
20191000027719;01;09;3
20191000027773;01;10;5
20191000027798;01;10;7
20191000027800;01;10;6
20191000027800;02;01;1
20191000027844;01;10;2
20191000027867;01;10;4
20191000027958;01;09;5
20191000027961;01;09;4
20191000027962;01;09;4
20191000027963;01;09;4
20191000027964;01;09;7
20191000027965;01;09;5
20191000028017;01;09;2
20191000028049;01;09;3
20191000028050;01;09;3
20191000028051;01;09;4
20191000028053;01;09;4
20191000028087;01;04;11
20191000028088;01;04;5
20191000028108;01;04;7
20191000028109;01;04;7
20191000028110;01;04;9
20191000028136;01;04;30
20191000028138;01;04;4
20191000028154;01;04;7
20191000028156;01;04;12
20191000029469;01;12;25
20191000029685;01;13;3
20191000030291;01;04;6
20191000030292;01;04;2
20191000030293;01;04;6
20191000030379;01;04;5
20191000030829;01;13;3
20191000030831;01;01;4
20191000030832;01;07;35
20191000030836;01;13;3
20191000030836;02;10;4
20191000030972;01;13;8
20191000030973;01;13;4
20191000031063;01;02;2
20191000031445;01;01;14
20191000031450;01;06;1
20191000031455;01;09;21
20191000031761;01;04;6
20191000031762;01;04;14
20191000031764;01;04;5
20191000031765;01;04;6
20191000031862;01;04;5
20191000031864;01;04;6
20191000031865;01;04;30
20191000031936;01;04;6
20191000031936;02;04;6
20191000031937;01;04;1
20191000031938;01;04;3
20191000031939;01;04;7
20191000031964;01;02;3
20191000032105;01;09;7
20191000032650;01;13;2
20191000032979;01;10;4
20191000032980;01;10;7
20191000033052;01;10;7
20191000033053;01;10;7
20191000033055;01;10;7
20191000033079;01;09;5
20191000033082;01;09;4
20191000033121;01;09;5
20191000033196;01;09;1
20191000033197;01;09;7
20191000033198;01;09;6
20191000033508;01;08;8
20191000033508;02;10;1
20191000034172;01;09;4
20191000034517;01;09;4
20191000034763;01;01;20
20191000035241;01;09;3
20191000035271;01;09;7
20191000035299;01;04;2
20191000035301;01;04;2
20191000035302;01;04;2
20191000035303;01;04;2
20191000035357;01;04;5
20191000035358;01;04;2
20191000035476;01;13;6
20191000036468;01;13;7
20191000036557;01;15;6
20191000036557;02;07;3
20191000036557;03;07;2
20191000036563;01;13;3
20191000036638;01;01;12
20191000036680;01;01;30
20191000036828;01;09;2
20191000036829;01;09;7
20191000036835;01;01;7
20191000036843;01;09;30
20191000036846;01;09;1
20191000036853;01;09;9
20191000036858;01;09;25
20191000036862;01;09;5
20191000038171;01;09;3
20191000038172;01;09;5
20191000038182;01;09;22
20191000038188;01;09;7
20191000038206;01;13;3
20191000038206;02;09;3
20191000038215;01;09;5
20191000038215;02;09;5
20191000038219;01;09;3
20191000038226;01;13;4
20191000038231;01;01;3
20191000038236;01;13;3
20191000038245;01;09;1
20191000038245;02;13;5
20191000038248;01;09;2
20191000038276;01;10;3
20191000038280;01;10;7
20191000038281;01;10;8
20191000038282;01;10;8
20191000038283;01;10;8
20191000038352;01;10;3
20191000038356;01;10;10
20191000038446;01;09;6
20191000038447;01;09;4
20191000038448;01;09;2
20191000038517;01;09;1
20191000038518;01;09;60
20191000038835;01;04;5
20191000039058;01;10;5
20191000039494;01;16;2
20191000039494;02;15;3
20191000039494;03;02;4
20191000039950;01;01;30
20191000039952;01;10;14
20191000039999;01;10;4
20191000039999;02;14;1
20191000039999;03;10;1
20191000040039;01;04;2
20191000040041;01;04;2
20191000040041;02;04;2
20191000040046;01;04;4
20191000040047;01;04;6
20191000040048;01;04;7
20191000040049;01;04;3
20191000040050;01;04;7
20191000040051;01;04;60
20191000040052;01;04;8
20191000040054;01;04;21
20191000040079;01;04;3
20191000040080;01;04;5
20191000040089;01;04;10
20191000040090;01;04;4
20191000040093;01;13;15
20191000040093;02;09;7
20191000040093;03;16;2
20191000040094;01;13;3
20191000040094;02;07;2
20191000040094;03;07;1
20191000040164;01;13;5
20191000040185;01;13;14
20191000040196;01;13;4
20191000040196;02;10;4
20191000040236;01;16;3
20191000040236;02;16;2
20191000040240;01;13;3
20191000040240;02;05;5
20191000040241;01;13;2
20191000040242;01;09;2
20191000040242;02;09;2
20191000040418;01;04;7
20191000040419;01;04;5
20191000040420;01;04;10
20191000040421;01;04;7
20191000040489;01;04;4
20191000040507;01;04;2
20191000040565;01;04;4
20191000040607;01;04;2
20191000040608;01;04;150
20191000040609;01;04;90
20191000040610;01;04;5
20191000040724;01;13;3
20191000040724;02;09;4
20191000040774;01;09;7
20191000040903;01;06;6
20191000040904;01;06;3
20191000041070;01;09;5
20191000041264;01;09;2
20191000041270;01;09;4
20191000041271;01;09;1
20191000041272;01;09;5
20191000041315;01;09;4
20191000041316;01;09;3
20191000041317;01;09;3
20191000041324;01;09;10
20191000041326;01;09;10
20191000041364;01;09;3
20191000041365;01;09;7
20191000041366;01;09;5
20191000041367;01;09;4
20191000041368;01;09;5
20191000041369;01;09;5
20191000041370;01;09;4
20191000041371;01;09;4
20191000041950;01;13;2
20191000041950;02;09;1
20191000041950;03;10;1
20191000041950;04;01;1
20191000041950;05;01;1
20191000041952;01;16;5
20191000042091;01;16;4
20191000042424;01;10;4
20191000042424;02;10;3
20191000042461;01;10;9
20191000043054;01;04;8
20191000043055;01;04;7
20191000043056;01;04;7
20191000043057;01;04;7
20191000043087;01;04;7
20191000043088;01;04;7
20191000043089;01;04;7
20191000043090;01;04;7
20191000043135;01;04;7
20191000043136;01;04;7
20191000043137;01;04;7
20191000043138;01;04;7
20191000043327;01;10;2
20191000043328;01;10;2
20191000043425;01;10;14
20191000043426;01;01;17
20191000043427;01;14;7
20191000043428;01;14;48
20191000043429;01;14;10
20191000043465;01;07;5
20191000043501;01;02;1
20191000043549;01;15;6
20191000043553;01;01;6
20191000043553;02;10;2
20191000043553;03;02;1
20191000043558;01;10;8
20191000043728;01;01;30
20191000043732;01;12;4
20191000043744;01;12;4
20191000043749;01;12;7
20191000043752;01;09;22
20191000043757;01;13;5
20191000043757;02;08;1
20191000043757;03;01;1
20191000043757;04;01;2
20191000043757;05;09;6
20191000043762;01;01;12
20191000043847;01;10;7
20191000043849;01;10;5
20191000044012;01;09;30
20191000044067;01;04;6
20191000044072;01;04;14
20191000044073;01;04;8
20191000044074;01;04;5
20191000044075;01;04;7
20191000044076;01;04;7
20191000044077;01;04;7
20191000044078;01;04;7
20191000044080;01;04;10
20191000044081;01;04;9
20191000044083;01;04;5
20191000044119;01;04;4
20191000044125;01;04;3
20191000044126;01;04;5
20191000044128;01;04;7
20191000044129;01;04;7
20191000044130;01;04;7
20191000044132;01;04;14
20191000044133;01;04;7
20191000044134;01;04;7
20191000044219;01;13;7
20191000044234;01;13;3
20191000044711;01;04;4
20191000044712;01;04;4
20191000044713;01;04;7
20191000044714;01;04;6
20191000045090;01;09;14
20191000045358;01;09;4
20191000045358;02;16;2
20191000045582;01;13;2
20191000045582;02;15;1
20191000045839;01;07;1
20191000045856;01;13;2
20191000045866;01;09;2
20191000045866;02;10;1
20191000045872;01;08;15
20191000046229;01;10;3
20191000046694;01;01;21
20191000046713;01;13;2
20191000046715;01;13;3
20191000046716;01;13;2
20191000047212;01;16;1
20191000047219;01;06;2
20191000047219;02;16;1
20191000047232;01;15;1
20191000047232;02;07;1
20191000047253;01;01;9
20191000047328;01;01;8
20191000047330;01;11;2
20191000047330;02;07;2
20191000047330;03;07;2
20191000047330;04;07;2
20191000047338;01;01;3
20191000047346;01;09;3
20191000047346;02;08;1
20191000047924;01;16;1
20191000047936;01;06;1
20191000047936;02;16;1
20191000047936;03;16;1
20191000047936;04;06;1
20191000047936;05;16;1
20191000048336;01;16;4
20191000048836;01;07;1
20191100000078;01;06;7
20191100000080;01;01;7
20191100000080;02;12;10
20191100000080;03;16;5
20191100000081;01;16;13
20191100000082;01;16;2
20191100000082;02;16;2
20191100000083;01;16;7
20191100000084;01;16;5
20191100000088;01;16;3
20191100000090;01;16;2
20191100000092;01;16;2
20191100000092;02;03;2
20191100000092;03;16;3
20191100000094;01;16;5
20191100000094;02;03;2
20191100000094;03;13;3
20191100000161;01;06;5
20191100000162;01;16;2
20191100000163;01;16;4
20191100000164;01;16;5
20191100000167;01;06;10
20191100000168;01;06;22
20191100000169;01;09;3
20191100000173;01;13;7
20191100000180;01;15;5
20191100000269;01;09;4
20191100000269;02;09;2
20191100000270;01;09;4
20191100000271;01;09;21
20191100000272;01;09;7
20191100000273;01;09;5
20191100000274;01;09;4
20191100000275;01;09;7
20191100000277;01;09;3
20191100000278;01;09;18
20191100000279;01;09;7
20191100000280;01;09;7
20191100000281;01;09;4
20191100000283;01;09;3
20191100000495;01;13;30
20191100000500;01;01;12
20191100000501;01;13;4
20191100000501;02;15;7
20191100000501;03;16;5
20191100000585;01;13;4
20191100000587;01;13;3
20191100000592;01;13;5
20191100000594;01;13;3
20191100000594;02;10;7
20191100000595;01;13;5
20191100000603;01;13;6
20191100000604;01;13;6
20191100000605;01;13;2
20191100000606;01;13;3
20191100000607;01;13;4
20191100000610;01;13;2
20191100000612;01;13;5
20191100000635;01;04;7
20191100000636;01;04;14
20191100000637;01;04;7
20191100000638;01;04;7
20191100000639;01;04;4
20191100000710;01;04;7
20191100000711;01;04;7
20191100000712;01;04;7
20191100000713;01;04;4
20191100000783;01;10;3
20191100000784;01;10;7
20191100000785;01;10;14
20191100000786;01;10;14
20191100000787;01;10;3
20191100000818;01;10;3
20191100000819;01;10;4
20191100000820;01;10;2
20191100000821;01;10;14
20191100000822;01;10;20
20191100000823;01;10;30
20191100000824;01;10;3
20191100000825;01;10;2
20191100000826;01;10;4
20191100000827;01;10;4
20191100000828;01;10;4
20191100000829;01;10;8
20191100000830;01;10;4
20191100000831;01;10;4
20191100000832;01;10;13
20191100000833;01;10;3
20191100000834;01;10;1
20191100000835;01;10;12
20191100000836;01;10;10
20191100000837;01;10;4
20191100000838;01;10;22
20191100000899;01;10;3
20191100000900;01;10;2
20191100000901;01;10;2
20191100000902;01;08;13
20191100000928;01;10;2
20191100000929;01;10;6
20191100000930;01;10;19
20191100000931;01;10;5
20191100000932;01;10;4
20191100000933;01;10;2
20191100000934;01;10;3
20191100000935;01;10;60
20191100000936;01;10;11
20191100000937;01;10;8
20191100000938;01;10;7
20191100000939;01;10;5
