mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
052019;2;20170400000334;2;2;10;13;4;1;2;6;1753.5898453;683.2931801
052019;2;20170400000335;2;2;10;13;3;1;2;6;1588.9433333;1859.20432
052019;2;20170400000336;2;2;10;13;8;2;1;6;1578.9887289;9909.2390497
052019;2;20170400005650;2;2;10;12;7;1;3;6;1076.4298049;1112.0029226
052019;2;20170500008084;2;2;10;13;6;3;1;6;980.25402242;2302.5431443
052019;2;20170500018146;2;2;02;04;7;1;1;1;1337.0684935;397.22084911
052019;2;20170500018147;2;2;02;04;10;3;1;6;811.62951838;273.59917848
052019;2;20170500030903;2;2;02;04;3;1;1;6;773.98116995;431.81250454
052019;2;20170500030914;2;2;02;04;5;1;1;6;627.1342887;753.33124407
052019;2;20170500030915;2;2;02;04;5;3;1;6;830.13562011;187.21631144
052019;2;20170500030946;2;2;02;04;4;1;1;6;905.33695521;403.29756461
052019;2;20170500030955;2;2;02;04;5;3;1;6;693.34711946;187.21631144
052019;2;20170500030957;2;2;02;04;3;1;1;6;773.98116995;215.90625227
052019;2;20170500030958;2;2;02;04;3;1;1;6;773.98116995;431.81250454
052019;2;20170500030959;2;2;02;04;3;1;1;6;818.24907936;431.81250454
052019;2;20170500033904;2;2;02;04;6;3;1;6;623.52471425;93.608155719
052019;2;20170500033905;2;2;02;04;2;1;1;6;620.74525052;462.34357813
052019;2;20170500033906;2;2;02;04;7;3;1;6;653.38602366;91.199726159
052019;2;20170500033964;2;2;02;04;4;1;1;6;905.33695521;403.29756461
052019;2;20170500033965;2;2;02;04;7;1;1;6;1124.6199615;328.56156163
052019;2;20170500033966;2;2;02;04;4;3;1;6;603.9985074;93.608155719
052019;2;20170600033257;2;2;10;16;3;1;2;6;1532.4376563;1009.6692573
052019;2;20180400003010;2;2;11;14;6;3;1;6;692.56197351;34.642508368
052019;2;20180400003013;2;2;11;10;7;3;1;6;600.2309359;79.834273281
052019;2;20180400003014;2;2;11;10;10;3;1;6;1054.7971949;41.611570411
052019;2;20180400003063;2;2;11;14;7;3;1;6;1160.9831795;67.502393406
052019;2;20180400003065;2;2;11;10;7;3;1;6;600.2309359;103.70697304
052019;2;20180400003066;2;2;11;10;7;3;1;6;615.12605417;26.611424427
052019;2;20180400003457;2;2;10;13;2;1;3;6;1200.1050273;1084.3600547
052019;2;20180400004149;2;2;02;04;4;1;1;6;953.23198758;403.29756461
