mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
032019;2;20170200006024;2;2;10;13;7;1;1;6;1559.0218341;1577.6511451
032019;2;20170200026538;2;2;10;13;3;3;1;6;885.30870415;900.65725864
032019;2;20180100001325;2;2;10;07;14;3;3;6;524.31034007;194.84703378
032019;2;20180100003843;2;2;10;15;10;3;3;6;1034.0068264;465.0173439
032019;2;20180100023248;2;2;10;13;7;1;2;6;1991.8350625;592.85051387
032019;2;20180200002265;2;4;11;09;5;1;1;6;999.21925776;84.007283024
032019;2;20180200003218;8;4;01;16;2;1;1;6;538.19058448;163.79226494
032019;2;20180200003223;2;4;09;13;1;1;1;6;351.11225015;143.09301061
032019;2;20180200003228;2;4;07;13;4;1;2;6;806.41328674;29.242287248
032019;2;20180200005168;2;4;08;13;4;1;1;6;705.16754159;47.763445478
032019;2;20180200007790;2;4;05;09;12;3;1;6;654.9222365;48.331399929
032019;2;20180200007798;2;4;08;09;15;1;1;6;1424.1410585;8.6551839451
032019;2;20180200007799;2;4;08;01;3;1;1;6;529.06284469;103.87930884
032019;2;20180200007849;2;4;08;01;8;3;1;6;878.23601113;80.153333008
032019;2;20180200009252;2;2;10;16;4;1;2;6;1765.9606013;545.18878682
032019;2;20180200012651;2;4;01;09;1;1;3;6;399.1777487;77.76790755
032019;2;20180200012683;2;4;09;09;10;3;1;6;571.31411613;54.040000483
032019;2;20180200013779;2;4;07;12;3;3;3;6;175.24595164;37.52762652
032019;2;20180200013781;2;4;07;12;4;3;3;6;308.49117346;37.52762652
032019;2;20180200013784;8;4;12;02;1;1;3;6;352.21943514;111.44372756
032019;2;20180200014163;2;4;07;13;4;1;1;6;691.11009034;72.377851896
032019;2;20180200014166;2;4;07;13;3;3;3;6;62.515298496;77.417646656
032019;2;20180200014176;8;4;01;09;3;1;1;6;691.47000335;184.77154195
032019;2;20180200014200;2;4;02;09;4;1;1;6;791.27877873;92.41196339
032019;2;20180200016393;2;4;07;13;1;1;1;6;245.66978319;177.37345538
