mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
012019;2;20170100000180;2;2;05;04;2;1;1;6;461.07327498;15.380321036
012019;2;20170100000182;2;2;05;04;9;3;1;6;635.60673655;20.277544962
012019;2;20170100000190;2;2;05;04;3;1;1;6;589.9639228;11.6489901
012019;2;20170100000191;2;2;05;04;3;1;1;6;632.71403414;23.2979802
012019;2;20170100000193;2;2;01;04;7;3;1;6;645.30725183;37.068396827
012019;2;20170100001484;2;2;10;13;17;3;3;6;1621.8479176;281.45333996
012019;2;20170100006074;2;2;10;13;7;3;3;6;746.99184942;281.45333996
012019;2;20170100010071;2;2;05;04;5;3;2;6;564.78312143;17.472896637
012019;2;20170100010072;2;2;05;04;30;3;2;6;1288.805774;16.812421801
012019;2;20170100010073;2;2;01;04;7;3;3;6;645.30725183;5.6113443528
012019;2;20170100010075;2;2;05;04;14;3;1;6;856.47266512;20.277544962
012019;2;20170100010078;2;2;05;04;10;3;1;6;678.14058169;20.277544962
012019;2;20170100010079;2;2;05;04;30;3;3;6;1443.7279877;6.1391534111
012019;2;20170100010080;2;2;05;04;1;3;2;6;250.73116268;16.812421801
012019;2;20170100010081;2;2;05;04;9;1;2;6;934.92361728;1.823225698
012019;2;20170100012283;2;2;05;04;2;3;1;6;362.04842167;21.074146924
012019;2;20170100012284;2;2;05;04;30;3;1;6;1443.7279877;20.277544962
012019;2;20170100012285;2;2;01;04;5;1;1;6;936.46548372;5.4077803931
012019;2;20170100012286;2;2;01;04;2;3;3;6;415.56697672;5.6113443528
012019;2;20170100012314;2;2;05;04;7;3;1;6;547.27369463;40.555089924
012019;2;20170100012315;2;2;05;04;2;1;1;6;489.57334921;30.760642072
012019;2;20170100012316;2;2;01;04;5;3;1;6;402.11793722;18.534198413
012019;2;20170100015904;2;2;02;10;6;3;1;6;1119.3686545;34.545163458
012019;2;20170100015909;2;2;02;14;14;3;1;6;1731.1513658;26.602835207
012019;2;20170100015937;2;2;14;14;7;2;1;6;1375.544725;80.606246871
012019;2;20170100029546;2;2;10;13;6;1;1;6;1462.8135828;1559.3322752
012019;2;20170100030165;2;2;10;13;14;3;1;6;1346.1490617;929.63677131
012019;2;20170200000132;2;2;02;14;8;3;3;6;832.54142192;8.2986062254
012019;2;20170200000133;2;2;02;10;7;2;1;6;972.85102129;78.698122665
012019;2;20170200000166;2;2;02;14;7;1;1;6;884.1121421;76.301904795
012019;2;20170200000167;2;2;02;14;3;1;3;6;899.40018243;32.359440288
012019;2;20170200000170;2;2;02;14;3;3;1;6;513.73508541;79.80850562
012019;2;20170200002153;2;2;02;14;90;3;1;6;5404.6415317;53.205670413
012019;2;20170200002154;2;2;02;10;3;3;1;6;501.881497;17.272581729
012019;2;20170200002155;2;2;02;14;6;3;1;6;602.89749739;51.194498072
012019;2;20170200002156;2;2;02;14;6;3;3;6;463.18579526;7.7497270517
012019;2;20170200002194;2;2;02;14;14;3;1;6;1496.7482536;26.602835207
012019;2;20170200002195;2;2;02;14;30;3;1;6;2298.2812219;26.602835207
012019;2;20170200002196;2;2;02;14;9;3;1;6;758.58323537;53.205670413
012019;2;20170200002198;2;2;02;14;3;3;2;6;469.14306719;42.446139169
012019;2;20170200006024;2;2;10;13;7;1;1;6;1516.005413;2863.9857458
012019;2;20170200006159;2;2;02;14;3;3;1;6;465.00840275;51.194498072
012019;2;20170200006160;2;2;02;10;7;3;1;6;698.07823508;33.239357578
012019;2;20170200013233;2;2;02;14;10;3;1;6;1412.4069763;26.602835207
012019;2;20170200013234;2;2;02;14;3;3;1;6;478.46874135;25.597249036
012019;2;20170200013235;2;2;02;10;16;1;1;6;1982.2066256;94.457661864
012019;2;20170200013292;2;2;02;03;5;3;1;6;1042.173481;65.78483418
012019;2;20170200013293;2;2;02;14;7;1;1;6;1043.8498167;76.301904795
012019;2;20170200026538;2;2;10;13;3;3;1;6;875.65874404;929.63677131
012019;2;20170300000024;8;2;15;14;20;3;1;6;1391.4191257;103.20184087
012019;2;20180100000216;2;2;15;13;4;1;1;6;2705.1985214;345.19575438
