A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170300000002;01;10;60
20170300000003;01;10;4
20170300000020;01;14;7
20170400000334;01;13;4
20170400000335;01;13;3
20170400000336;01;13;4
20170400000336;02;08;2
20170400000336;03;08;2
20170400000543;01;10;3
20170400001951;01;10;3
20170400003250;01;13;1
20170400005650;01;12;7
20170400005691;01;10;5
20170400006639;01;04;5
20170400006640;01;04;7
20170400006641;01;04;5
20170400006642;01;04;5
20170400006643;01;04;5
20170400016934;01;04;3
20170400018608;01;04;5
20170400018609;01;04;4
20170400018737;01;04;3
20170400018738;01;04;3
20170400018739;01;04;4
20170400020086;01;04;7
20170400020091;01;04;2
20170400026190;01;04;7
20170400027976;01;10;4
20170400034807;01;04;7
20170400034862;01;04;4
20170400034863;01;04;14
20170400036309;01;04;7
20170400036311;01;04;7
20170400037417;01;10;3
20170500008084;01;13;6
20170500009633;01;10;1
20170500009633;02;10;5
20170500011030;01;10;5
20170500016751;01;10;7
20170500016826;01;10;21
20170500016835;01;10;1
20170500038400;01;10;4
20170500038444;01;10;5
20170600033257;01;16;3
20180400001016;01;16;2
20180400001102;01;16;1
20180400001102;02;08;30
20180400001104;01;10;14
20180400001108;01;01;90
20180400001108;02;07;1
20180400001953;01;09;4
20180400002709;01;09;8
20180400002710;01;09;7
20180400002711;01;09;9
20180400002718;01;09;10
20180400002730;01;09;3
20180400002761;01;10;4
20180400002761;02;09;6
20180400002765;01;09;4
20180400002766;01;09;2
20180400002766;02;10;4
20180400002766;03;01;3
20180400002766;04;01;2
20180400002766;05;01;3
20180400002837;01;10;7
20180400002908;01;10;7
20180400003438;01;08;2
20180400003457;01;13;2
20180400003480;01;01;6
20180400003484;01;13;2
20180400003484;02;07;1
20180400003484;03;08;1
20180400003484;04;11;2
20180400003485;01;13;6
20180400003486;01;13;1
20180400003488;01;13;4
20180400003489;01;13;2
20180400003512;01;14;6
20180400003533;01;09;5
20180400003569;01;07;1
20180400004072;01;05;8
20180400004072;02;05;2
20180400004149;01;04;4
20180400005188;01;09;2
20180400005259;01;07;1
20180400005269;01;01;1
20180400005269;02;11;1
20180400005269;03;07;1
20180400005276;01;16;2
20180400006180;01;09;42
20180400006200;01;10;10
20180400006203;01;10;17
20180400006204;01;10;6
20180400006210;01;10;14
20180400006284;01;09;1
