A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170700023531;01;04;8
20170700032682;01;13;6
20170700039061;01;04;7
20170700039220;01;09;4
20170700039220;02;09;4
20170700039220;03;10;3
20170700039220;04;13;4
20170700047937;01;04;6
20170800001998;01;04;4
20170800036664;01;04;7
20170800040244;01;04;5
20170800040315;01;04;7
20170900002086;01;04;4
20170900014574;01;04;1
20170900041352;01;04;7
20180700018707;01;04;3
20180700021322;01;13;7
20180700024440;01;13;21
20180700039477;01;13;5
20180800020682;01;07;30
20180800021696;01;09;6
20180800023374;01;09;6
20180800023374;02;09;1
20180800023375;01;09;7
20180800023375;02;09;1
20180800023375;03;04;1
20180800023375;04;13;2
20180800023375;05;01;3
20180800023456;01;04;13
20180800033867;01;04;1
20180800033867;02;13;1
20180800033953;01;13;3
20180800038374;01;06;5
20180800038374;02;07;4
20180800038374;03;07;4
20180800038374;04;13;27
20180800042473;01;09;4
20180800042473;02;09;2
20180800042475;01;09;6
20180800042475;02;01;3
20180800042475;03;01;3
20180800042475;04;01;2
20180800042475;05;01;2
20180800042475;06;10;1
20180800042476;01;09;6
20180800042476;02;15;4
20180800042476;03;13;4
20180800042537;01;04;6
20180800042538;01;09;11
20180800042540;01;09;1
20180800051793;01;13;4
20180800051793;02;10;12
20180800051793;03;09;5
20180800052694;01;07;21
20180800052694;02;03;14
20180800052786;01;13;4
20180800052786;02;09;3
20180800053667;01;09;13
20180900009198;01;13;2
20180900014875;01;12;9
20180900015803;01;12;7
20180900015803;02;03;2
20180900015803;03;13;1
20180900015942;01;13;8
20180900015942;02;09;4
20180900015942;03;07;3
20180900017666;01;13;21
20180900032098;01;13;30
20180900044600;01;13;3
20190700003566;01;14;14
20190700003567;01;14;14
20190700003568;01;10;7
20190700003569;01;14;14
20190700003570;01;14;11
20190700003611;01;14;7
20190700003612;01;10;8
20190700003613;01;14;18
20190700003614;01;14;8
20190700003615;01;14;8
20190700004331;01;04;7
20190700004407;01;04;7
20190700009644;01;04;7
20190700009692;01;13;28
20190700009692;02;10;2
20190700009869;01;07;12
20190700011210;01;04;8
20190700011213;01;04;7
20190700011214;01;04;7
20190700011215;01;04;7
20190700011216;01;04;7
20190700011217;01;04;14
20190700013873;01;09;2
20190700013915;01;13;8
20190700014111;01;13;5
20190700016961;01;04;6
20190700017026;01;04;15
20190700017905;01;14;12
20190700017906;01;14;6
20190700017907;01;14;5
20190700017908;01;10;4
20190700017909;01;14;5
20190700020371;01;08;9
20190700020702;01;16;2
20190700021139;01;04;14
20190700021264;01;04;5
20190700021266;01;04;5
20190700024111;01;10;14
20190700024112;01;14;6
20190700024113;01;10;14
20190700024114;01;14;11
20190700024323;01;13;5
20190700025411;01;16;4
20190700028342;01;13;14
20190700032042;01;04;12
20190700032067;01;04;7
20190700032068;01;04;7
20190700032069;01;04;7
20190700032144;01;04;7
20190700032145;01;04;7
20190700032146;01;04;7
20190700032147;01;04;7
20190700032217;01;04;7
20190700032218;01;04;7
20190700032219;01;04;7
20190700032640;01;13;5
20190700032644;01;13;10
20190700032647;01;13;1
